# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3300, i.e. number of multipoles equal to 3299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.4829054205e-10 7.2386861514e-15 4.8389011293e-13 0.0000000000e+00 8.8409039247e-09 4.7701777701e-10 -2.5013891880e-12
   3 1.4002814181e-10 1.2285202328e-14 6.0790292297e-13 0.0000000000e+00 5.4271697671e-09 3.3981523917e-10 -2.2022222967e-12
   4 1.3179115714e-10 1.4390268580e-14 6.2966142624e-13 0.0000000000e+00 3.7609296159e-09 2.5844730782e-10 -1.7590831087e-12
   5 1.2528989976e-10 1.3352240514e-14 5.8991449254e-13 0.0000000000e+00 2.7996254547e-09 2.0496745365e-10 -1.3082921809e-12
   6 1.2049258646e-10 1.0342031660e-14 5.1924805759e-13 0.0000000000e+00 2.1827320807e-09 1.6728174225e-10 -9.0119870458e-13
   7 1.1715305279e-10 6.8840050146e-15 4.3899754063e-13 0.0000000000e+00 1.7574454259e-09 1.3946212076e-10 -5.4784098626e-13
   8 1.1488501104e-10 4.0793767096e-15 3.5991684142e-13 0.0000000000e+00 1.4506858307e-09 1.1815919611e-10 -2.7299186429e-13
   9 1.1353484889e-10 2.3575695022e-15 2.9015985497e-13 0.0000000000e+00 1.2195904916e-09 1.0149091219e-10 -7.3989715221e-14
  10 1.1285600228e-10 1.5753299852e-15 2.3343879960e-13 0.0000000000e+00 1.0406845869e-09 8.8156117114e-11 5.4581408618e-14
  11 1.1271710847e-10 1.3416310050e-15 1.9187368239e-13 0.0000000000e+00 8.8698722612e-10 7.7962706812e-11 1.2167084837e-13
  12 1.1298989009e-10 1.2839732864e-15 1.6492817872e-13 0.0000000000e+00 7.7458955407e-10 6.8969818066e-11 1.4217651869e-13
  13 1.1359253876e-10 1.2007110730e-15 1.5113613611e-13 0.0000000000e+00 6.8237448863e-10 6.1438976676e-11 1.2870467124e-13
  14 1.1445154382e-10 1.0586011656e-15 1.4782020515e-13 0.0000000000e+00 6.0570010766e-10 5.5117792513e-11 9.4857946669e-14
  15 1.1549475392e-10 9.2007421337e-16 1.5173185740e-13 0.0000000000e+00 5.4095641350e-10 4.9734438485e-11 5.2662790602e-14
  16 1.1673269611e-10 8.3291766658e-16 1.6048599440e-13 0.0000000000e+00 4.8637850315e-10 4.5206113144e-11 1.0072464078e-14
  17 1.1807731327e-10 8.2845047966e-16 1.7100974853e-13 0.0000000000e+00 4.3929234971e-10 4.1253761948e-11 -2.5311236359e-14
  18 1.1953944907e-10 8.8482536501e-16 1.8169760658e-13 0.0000000000e+00 3.9874803461e-10 3.7797833101e-11 -5.0149598495e-14
  19 1.2110122112e-10 9.5464793207e-16 1.9130301193e-13 0.0000000000e+00 3.6331599880e-10 3.4738561255e-11 -6.3376876387e-14
  20 1.2276152046e-10 1.0185170562e-15 1.9937001224e-13 0.0000000000e+00 3.3240439438e-10 3.2033688085e-11 -6.5745438095e-14
  21 1.2448478244e-10 1.0695192197e-15 2.0580373286e-13 0.0000000000e+00 3.0509546539e-10 2.9610185786e-11 -5.9576923071e-14
  22 1.2626980397e-10 1.1264184763e-15 2.1097066737e-13 0.0000000000e+00 2.8092857420e-10 2.7439612491e-11 -4.7775861872e-14
  23 1.2810279731e-10 1.2167212620e-15 2.1546826639e-13 0.0000000000e+00 2.5927748954e-10 2.5480992688e-11 -3.3898337001e-14
  24 1.2999748551e-10 1.3480580772e-15 2.1973642367e-13 0.0000000000e+00 2.4002864005e-10 2.3729382514e-11 -2.0075186548e-14
  25 1.3194906935e-10 1.5205413148e-15 2.2424070630e-13 0.0000000000e+00 2.2290795471e-10 2.2162596440e-11 -8.3572452249e-15
  26 1.3392846549e-10 1.7323238066e-15 2.2943591523e-13 0.0000000000e+00 2.0736440944e-10 2.0733698374e-11 -8.0157150794e-16
  27 1.3594132351e-10 1.9803338707e-15 2.3533490040e-13 0.0000000000e+00 1.9328718088e-10 1.9434653858e-11 2.4037600927e-15
  28 1.3798812863e-10 2.2594617632e-15 2.4174048373e-13 0.0000000000e+00 1.8054016389e-10 1.8254900830e-11 1.9128355084e-15
  29 1.4005632705e-10 2.5636976664e-15 2.4835518545e-13 0.0000000000e+00 1.6885951102e-10 1.7172094944e-11 -1.3144381541e-15
  30 1.4215592419e-10 2.8916507815e-15 2.5483549278e-13 0.0000000000e+00 1.5822030188e-10 1.6184331473e-11 -6.4190033913e-15
  31 1.4429448105e-10 3.2431085710e-15 2.6074153294e-13 0.0000000000e+00 1.4858827428e-10 1.5288176500e-11 -1.2346860134e-14
  32 1.4646572893e-10 3.6176094505e-15 2.6551025090e-13 0.0000000000e+00 1.3980974379e-10 1.4468875785e-11 -1.7711130423e-14
  33 1.4865580609e-10 4.0148818835e-15 2.6856955845e-13 0.0000000000e+00 1.3167176113e-10 1.3706081111e-11 -2.1123098402e-14
