# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.4829102338e-10 7.2389211132e-15 4.8389010798e-13 2.3496168002e-19 8.8409039247e-09 4.7701777701e-10 -2.5013891880e-12
   3 1.4002910228e-10 1.2285672467e-14 6.0790290098e-13 4.7013821548e-19 5.4271697671e-09 3.3981523917e-10 -2.2022222967e-12
   4 1.3179275305e-10 1.4391052616e-14 6.2966136313e-13 7.8403398641e-19 3.7609296159e-09 2.5844730782e-10 -1.7590831087e-12
   5 1.2529228466e-10 1.3353417438e-14 5.8991434909e-13 1.1769157977e-18 2.7996254547e-09 2.0496745365e-10 -1.3082921809e-12
   6 1.2049591052e-10 1.0343680784e-14 5.1924777625e-13 1.6491008568e-18 2.1827320807e-09 1.6728174225e-10 -9.0119870458e-13
   7 1.1715746233e-10 6.8862060160e-15 4.3899704281e-13 2.2009468338e-18 1.7574454259e-09 1.3946212076e-10 -5.4784098626e-13
   8 1.1489064812e-10 4.0822096629e-15 3.5991602527e-13 2.8328408131e-18 1.4506858307e-09 1.1815919611e-10 -2.7299186429e-13
   9 1.1354185103e-10 2.3611149013e-15 2.9015859362e-13 3.5451875555e-18 1.2195904916e-09 1.0149091219e-10 -7.3989715221e-14
  10 1.1286450222e-10 1.5796687520e-15 2.3343693984e-13 4.3383975164e-18 1.0406845869e-09 8.8156117114e-11 5.4581408618e-14
  11 1.1272723409e-10 1.3468444859e-15 1.9187104397e-13 5.2128750716e-18 8.8698722612e-10 7.7962706812e-11 1.2167084837e-13
  12 1.1300176439e-10 1.2901432363e-15 1.6492455401e-13 6.1690073925e-18 7.7458955407e-10 6.8969818066e-11 1.4217651869e-13
  13 1.1360627994e-10 1.2079196276e-15 1.5113129026e-13 7.2071543819e-18 6.8237448863e-10 6.1438976676e-11 1.2870467124e-13
  14 1.1446726544e-10 1.0669308021e-15 1.4781387659e-13 8.3276400398e-18 6.0570010766e-10 5.5117792513e-11 9.4857946669e-14
  15 1.1551256514e-10 9.2960770095e-16 1.5172375872e-13 9.5307450819e-18 5.4095641350e-10 4.9734438485e-11 5.2662790602e-14
  16 1.1675270200e-10 8.4373800888e-16 1.6047581339e-13 1.0816704449e-17 4.8637850315e-10 4.5206113144e-11 1.0072464078e-14
  17 1.1809961511e-10 8.4064084789e-16 1.7099714958e-13 1.2185699086e-17 4.3929234971e-10 4.1253761948e-11 -2.5311236359e-14
  18 1.1956414473e-10 8.9846902950e-16 1.8168223189e-13 1.3637863112e-17 3.9874803461e-10 3.7797833101e-11 -5.0149598495e-14
  19 1.2112840546e-10 9.6982818467e-16 1.9128448316e-13 1.5173276017e-17 3.6331599880e-10 3.4738561255e-11 -6.3376876387e-14
  20 1.2279128566e-10 1.0353171401e-15 1.9934793167e-13 1.6791978635e-17 3.3240439438e-10 3.2033688085e-11 -6.5745438095e-14
  21 1.2451721838e-10 1.0880222489e-15 2.0577768497e-13 1.8493963863e-17 3.0509546539e-10 2.9610185786e-11 -5.9576923071e-14
  22 1.2630499858e-10 1.1467073660e-15 2.1094021992e-13 2.0279196210e-17 2.8092857420e-10 2.7439612491e-11 -4.7775861872e-14
  23 1.2814083686e-10 1.2388786540e-15 2.1543297176e-13 2.2147607308e-17 2.5927748954e-10 2.5480992688e-11 -3.3898337001e-14
  24 1.3003845468e-10 1.3721663003e-15 2.1969581922e-13 2.4099135871e-17 2.4002864005e-10 2.3729382514e-11 -2.0075186548e-14
  25 1.3199305155e-10 1.5466823169e-15 2.2419431553e-13 2.6133701678e-17 2.2290795471e-10 2.2162596440e-11 -8.3572452249e-15
  26 1.3397554309e-10 1.7605790893e-15 2.2938324905e-13 2.8251210267e-17 2.0736440944e-10 2.0733698374e-11 -8.0157150794e-16
  27 1.3599157763e-10 2.0107844861e-15 2.3527545702e-13 3.0451611651e-17 1.9328718088e-10 1.9434653858e-11 2.4037600927e-15
  28 1.3804163925e-10 2.2921882721e-15 2.4167374943e-13 3.2734869839e-17 1.8054016389e-10 1.8254900830e-11 1.9128355084e-15
  29 1.4011317310e-10 2.5987801012e-15 2.4828063565e-13 3.5100963825e-17 1.6885951102e-10 1.7172094944e-11 -1.3144381541e-15
  30 1.4221618311e-10 2.9291686789e-15 2.5475259286e-13 3.7549934354e-17 1.5822030188e-10 1.6184331473e-11 -6.4190033913e-15
  31 1.4435822869e-10 3.2831409641e-15 2.6064973932e-13 4.0081861791e-17 1.4858827428e-10 1.5288176500e-11 -1.2346860134e-14
  32 1.4653303953e-10 3.6602348460e-15 2.6540901219e-13 4.2696859458e-17 1.3980974379e-10 1.4468875785e-11 -1.7711130423e-14
  33 1.4872675210e-10 4.0601782526e-15 2.6845831717e-13 4.5395078355e-17 1.3167176113e-10 1.3706081111e-11 -2.1123098402e-14
  34 1.5094424597e-10 4.4844638384e-15 2.6964008838e-13 4.8176713204e-17 1.2414492106e-10 1.2996953371e-11 -2.2414007715e-14
  35 1.5319027725e-10 4.9353698428e-15 2.6893900824e-13 5.1042005512e-17 1.1721540206e-10 1.2340186669e-11 -2.1853613247e-14
  36 1.5546133969e-10 5.4155870253e-15 2.6637486460e-13 5.3991247342e-17 1.1081448999e-10 1.1729306672e-11 -1.9844144290e-14
  37 1.5774979053e-10 5.9278365922e-15 2.6200362398e-13 5.7024761531e-17 1.0484739399e-10 1.1155513373e-11 -1.6868596579e-14
  38 1.6006041374e-10 6.4734833890e-15 2.5591394363e-13 6.0142823442e-17 9.9305501695e-11 1.0618700701e-11 -1.3286724766e-14
  39 1.6239815916e-10 7.0534776105e-15 2.4823425449e-13 6.3345718195e-17 9.4185260033e-11 1.0119525944e-11 -9.4839958310e-15
  40 1.6476300942e-10 7.6687206988e-15 2.3913723006e-13 6.6633764395e-17 8.9454875071e-11 9.6561653256e-12 -5.9332597052e-15
  41 1.6714942909e-10 8.3200610746e-15 2.2884257485e-13 7.0007316319e-17 8.5051752704e-11 9.2240820885e-12 -3.2003095141e-15
  42 1.6954995335e-10 9.0082609607e-15 2.1755236669e-13 7.3466718458e-17 8.0903413629e-11 8.8176968480e-12 -1.7973520052e-15
  43 1.7196863247e-10 9.7338943751e-15 2.0522581309e-13 7.7012146588e-17 7.7004299465e-11 8.4365871447e-12 -1.6743593481e-15
  44 1.7441094597e-10 1.0497409452e-14 1.9173739721e-13 8.0643719732e-17 7.3359142000e-11 8.0808737932e-12 -2.5749580983e-15
  45 1.7687976778e-10 1.1299148503e-14 1.7693643164e-13 8.4361542461e-17 6.9960647000e-11 7.7493879506e-12 -4.1699941676e-15
  46 1.7937509046e-10 1.2139341827e-14 1.6064536534e-13 8.8165703918e-17 6.6788494650e-11 7.4395655997e-12 -6.0529874359e-15
  47 1.8189374936e-10 1.3018101525e-14 1.4265809061e-13 9.2056276842e-17 6.3808339990e-11 7.1473420333e-12 -7.7355863625e-15
  48 1.8443163270e-10 1.3935454350e-14 1.2278345209e-13 9.6033288576e-17 6.0982615702e-11 6.8683867853e-12 -8.7630537485e-15
  49 1.8699169197e-10 1.4891465671e-14 1.0099422713e-13 1.0009662668e-16 5.8308873686e-11 6.6024662722e-12 -9.1098251821e-15
  50 1.8957771567e-10 1.5886139821e-14 7.7317232360e-14 1.0424610504e-16 5.5790534148e-11 6.3501296383e-12 -8.8876441876e-15
  51 1.9219189531e-10 1.6919380010e-14 5.1792386351e-14 1.0848148722e-16 5.3425639274e-11 6.1114394670e-12 -8.2368061196e-15
  52 1.9483467642e-10 1.7990984126e-14 2.4473322797e-14 1.1280248405e-16 5.1206455825e-11 5.8859346550e-12 -7.3277368122e-15
