# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3300, i.e. number of multipoles equal to 3299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.4824848058e-10 7.2383655085e-15 4.8388113658e-13 0.0000000000e+00 8.8357900715e-09 4.7656997880e-10 -2.5013254707e-12
   3 1.3998321495e-10 1.2284289056e-14 6.0788621870e-13 0.0000000000e+00 5.4237847078e-09 3.3945868999e-10 -2.2020873079e-12
   4 1.3174522136e-10 1.4388709622e-14 6.2963645838e-13 0.0000000000e+00 3.7585942604e-09 2.5816433221e-10 -1.7589144113e-12
   5 1.2524239890e-10 1.3350295804e-14 5.8987990100e-13 0.0000000000e+00 2.7978062527e-09 2.0473866915e-10 -1.3081166324e-12
   6 1.2044279183e-10 1.0340124139e-14 5.1920654234e-13 0.0000000000e+00 2.1813424331e-09 1.6709800174e-10 -9.0103342284e-13
   7 1.1710002085e-10 6.8824589777e-15 4.3895016031e-13 0.0000000000e+00 1.7561821724e-09 1.3930957091e-10 -5.4773445780e-13
   8 1.1482826041e-10 4.0782717987e-15 3.5986709660e-13 0.0000000000e+00 1.4497134491e-09 1.1803931915e-10 -2.7294799272e-13
   9 1.1347365811e-10 2.3567605086e-15 2.9010955025e-13 0.0000000000e+00 1.2190088712e-09 1.0140177825e-10 -7.4012231751e-14
  10 1.1278950781e-10 1.5745924298e-15 2.3338645579e-13 0.0000000000e+00 1.0401634593e-09 8.8084045261e-11 5.4500087576e-14
  11 1.1264476583e-10 1.3408033702e-15 1.9181736958e-13 0.0000000000e+00 8.8651664937e-10 7.7904531972e-11 1.2155070042e-13
  12 1.1291147673e-10 1.2830222166e-15 1.6486373817e-13 0.0000000000e+00 7.7421067995e-10 6.8923551710e-11 1.4203961928e-13
  13 1.1350782971e-10 1.1996959483e-15 1.5105906907e-13 0.0000000000e+00 6.8207147564e-10 6.1405255812e-11 1.2857392810e-13
  14 1.1436045058e-10 1.0575862032e-15 1.4772522338e-13 0.0000000000e+00 6.0546026404e-10 5.5095668868e-11 9.4752525913e-14
  15 1.1539720952e-10 9.1906465521e-16 1.5161203543e-13 0.0000000000e+00 5.4076989668e-10 4.9720352401e-11 5.2595818042e-14
  16 1.1662867468e-10 8.3187872996e-16 1.6033659359e-13 0.0000000000e+00 4.8623591569e-10 4.5196576497e-11 1.0051208636e-14
  17 1.1796691448e-10 8.2731915632e-16 1.7082993839e-13 0.0000000000e+00 4.3918710156e-10 4.1246881726e-11 -2.5286943993e-14
  18 1.1942295915e-10 8.8354767016e-16 1.8148647784e-13 0.0000000000e+00 3.9867435103e-10 3.7793613310e-11 -5.0086827746e-14
  19 1.2097912796e-10 9.5320079193e-16 1.9105843423e-13 0.0000000000e+00 3.6326899198e-10 3.4738817812e-11 -6.3289311130e-14
  20 1.2263425630e-10 1.0169147097e-15 1.9909172931e-13 0.0000000000e+00 3.3237973314e-10 3.2038690333e-11 -6.5649109959e-14
  21 1.2435265263e-10 1.0678078824e-15 2.0549425256e-13 0.0000000000e+00 3.0508968760e-10 2.9617641267e-11 -5.9487426057e-14
  22 1.2613320559e-10 1.1246064656e-15 2.1063234856e-13 0.0000000000e+00 2.8093866409e-10 2.7447579260e-11 -4.7704844336e-14
  23 1.2796229566e-10 1.2147534914e-15 2.1510213334e-13 0.0000000000e+00 2.5930095211e-10 2.5488935772e-11 -3.3851425097e-14
  24 1.2985370935e-10 1.3458554247e-15 2.1934259640e-13 0.0000000000e+00 2.4006316487e-10 2.3737299720e-11 -2.0053846398e-14
  25 1.3180267791e-10 1.5180130299e-15 2.2381827147e-13 0.0000000000e+00 2.2295152005e-10 2.2170819418e-11 -8.3584821724e-15
  26 1.3378014258e-10 1.7293701393e-15 2.2898283543e-13 0.0000000000e+00 2.0741545796e-10 2.0742841164e-11 -8.1769559428e-16
  27 1.3579175494e-10 1.9768560279e-15 2.3484899281e-13 0.0000000000e+00 1.9334431263e-10 1.9445010477e-11 2.3815654873e-15
  28 1.3783798891e-10 2.2553684324e-15 2.4121979216e-13 0.0000000000e+00 1.8060213546e-10 1.8266138974e-11 1.8930683834e-15
  29 1.3990628125e-10 2.5589072274e-15 2.4779816067e-13 0.0000000000e+00 1.6892530716e-10 1.7183270376e-11 -1.3242736680e-15
  30 1.4200667002e-10 2.8860827996e-15 2.5424139149e-13 0.0000000000e+00 1.5828898878e-10 1.6194613264e-11 -6.4134643936e-15
  31 1.4414676809e-10 3.2366820848e-15 2.6011071464e-13 0.0000000000e+00 1.4865899712e-10 1.5297151472e-11 -1.2323516381e-14
  32 1.4632036921e-10 3.6102441186e-15 2.6484444465e-13 0.0000000000e+00 1.3988178702e-10 1.4476686481e-11 -1.7671513987e-14
  33 1.4851366811e-10 4.0064981710e-15 2.6787185262e-13 0.0000000000e+00 1.3174457516e-10 1.3713406298e-11 -2.1072707222e-14
  34 1.5073153625e-10 4.4269347799e-15 2.6903570804e-13 0.0000000000e+00 1.2421801749e-10 1.3004411188e-11 -2.2358817892e-14
  35 1.5297869386e-10 4.8738289796e-15 2.6832064586e-13 0.0000000000e+00 1.1728833740e-10 1.2348104741e-11 -2.1798823925e-14
  36 1.5525158604e-10 5.3498681751e-15 2.6574627552e-13 0.0000000000e+00 1.1088688578e-10 1.1737635067e-11 -1.9793796707e-14
  37 1.5754252151e-10 5.8577714596e-15 2.6136827576e-13 0.0000000000e+00 1.0491894462e-10 1.1163834604e-11 -1.6825351141e-14
  38 1.5985628149e-10 6.3989076077e-15 2.5527500843e-13 0.0000000000e+00 9.9375936824e-11 1.0626588700e-11 -1.3252256823e-14
  39 1.6219782844e-10 6.9742336812e-15 2.4759451719e-13 0.0000000000e+00 9.4254338714e-11 1.0126670120e-11 -9.4589424642e-15
  40 1.6456716148e-10 7.5846597756e-15 2.3849895817e-13 0.0000000000e+00 8.9522392447e-11 9.6624040793e-12 -5.9169815432e-15
  41 1.6695876608e-10 8.2310448595e-15 2.2820737971e-13 0.0000000000e+00 8.5117547073e-11 9.2294386220e-12 -3.1906373226e-15
  42 1.6936519445e-10 8.9141633166e-15 2.1692124497e-13 0.0000000000e+00 8.0967367112e-11 8.8223721449e-12 -1.7907240374e-15
  43 1.7179048120e-10 9.6346017376e-15 2.0459981845e-13 0.0000000000e+00 7.7066316261e-11 8.4408026905e-12 -1.6673161105e-15
  44 1.7424007806e-10 1.0392822239e-14 1.9111786807e-13 0.0000000000e+00 7.3419142493e-11 8.0848205197e-12 -2.5646867056e-15
  45 1.7671682686e-10 1.1189182957e-14 1.7632505120e-13 0.0000000000e+00 7.0018567878e-11 7.7532154453e-12 -4.1545157674e-15
  46 1.7922068372e-10 1.2023931941e-14 1.6004422553e-13 0.0000000000e+00 6.6844288918e-11 7.4433706095e-12 -6.0313563787e-15
  47 1.8174844316e-10 1.2897201046e-14 1.4206975987e-13 0.0000000000e+00 6.3861976887e-11 7.1511562606e-12 -7.7081011175e-15
  48 1.8429595283e-10 1.3809038012e-14 1.2221088947e-13 0.0000000000e+00 6.1034079779e-11 6.8721791239e-12 -8.7311882138e-15
  49 1.8686613945e-10 1.4759527658e-14 1.0044017508e-13 0.0000000000e+00 5.8358161352e-11 6.6061948238e-12 -9.0752005725e-15
  50 1.8946277134e-10 1.5748694360e-14 7.6783990543e-14 0.0000000000e+00 5.5837651858e-11 6.3537567662e-12 -8.8517100758e-15
  51 1.9208802023e-10 1.6776462784e-14 5.1281726110e-14 0.0000000000e+00 5.3470602249e-11 6.1149329933e-12 -8.2007861719e-15
  52 1.9474231244e-10 1.7842653724e-14 2.3986397525e-14 0.0000000000e+00 5.1249286641e-11 5.8892691229e-12 -7.2925714060e-15
  53 1.9742418014e-10 1.8946979950e-14 -5.0347449686e-15 0.0000000000e+00 4.9159804766e-11 5.6757512889e-12 -6.3288569505e-15
  54 2.0013011252e-10 2.0089042038e-14 -3.5699607593e-14 0.0000000000e+00 4.7181684439e-11 5.4727690808e-12 -5.5446581360e-15
  55 2.0285631532e-10 2.1268441415e-14 -6.7930229722e-14 0.0000000000e+00 4.5293788483e-11 5.2786208852e-12 -5.1536242069e-15
  56 2.0560484218e-10 2.2485161865e-14 -1.0171662967e-13 0.0000000000e+00 4.3494664622e-11 5.0932618181e-12 -5.1647773965e-15
  57 2.0837872580e-10 2.3739275511e-14 -1.3706775281e-13 0.0000000000e+00 4.1786554618e-11 4.9169251028e-12 -5.5230075691e-15
  58 2.1118013029e-10 2.5030834319e-14 -1.7399342614e-13 0.0000000000e+00 4.0169384109e-11 4.7496021319e-12 -6.1606498789e-15
  59 2.1401027669e-10 2.6359870506e-14 -2.1250451237e-13 0.0000000000e+00 3.8640610707e-11 4.5910265398e-12 -6.9968720235e-15
  60 2.1686936856e-10 2.7726396946e-14 -2.5261306394e-13 0.0000000000e+00 3.7195072076e-11 4.4406582752e-12 -7.9370614972e-15
  61 2.1975651748e-10 2.9130407574e-14 -2.9433247706e-13 0.0000000000e+00 3.5824834029e-11 4.2976676737e-12 -8.8722128451e-15
  62 2.2266966866e-10 3.0571877798e-14 -3.3767764579e-13 0.0000000000e+00 3.4519038608e-11 4.1609195297e-12 -9.6783149164e-15
  63 2.2560670964e-10 3.2050670637e-14 -3.8266407153e-13 0.0000000000e+00 3.3266869885e-11 4.0292912812e-12 -1.0244552417e-14
  64 2.2856924573e-10 3.3566230414e-14 -4.2930461803e-13 0.0000000000e+00 3.2067546962e-11 3.9027442697e-12 -1.0566453977e-14
  65 2.3155951785e-10 3.5117822783e-14 -4.7761232097e-13 0.0000000000e+00 3.0922246344e-11 3.7814584475e-12 -1.0672028767e-14
  66 2.3457925348e-10 3.6704620747e-14 -5.2760149064e-13 0.0000000000e+00 2.9831118423e-11 3.6655129983e-12 -1.0594983626e-14
  67 2.3762962746e-10 3.8325702261e-14 -5.7928783498e-13 0.0000000000e+00 2.8793228350e-11 3.5548803534e-12 -1.0374967878e-14
  68 2.4071122276e-10 3.9980047834e-14 -6.3268858246e-13 0.0000000000e+00 2.7806496918e-11 3.4494202084e-12 -1.0057818161e-14
  69 2.4382399120e-10 4.1666538123e-14 -6.8782260511e-13 0.0000000000e+00 2.6867641436e-11 3.3488735388e-12 -9.6958032423e-15
  70 2.4696721427e-10 4.3383951544e-14 -7.4471054142e-13 0.0000000000e+00 2.5972116607e-11 3.2528566169e-12 -9.3478688448e-15
  71 2.5013946390e-10 4.5130961864e-14 -8.0337491934e-13 0.0000000000e+00 2.5114055403e-11 3.1608550275e-12 -9.0798824678e-15
  72 2.5333933604e-10 4.6906209320e-14 -8.6382848045e-13 0.0000000000e+00 2.4287781883e-11 3.0723601974e-12 -8.9496543382e-15
  73 2.5656790179e-10 4.8708535078e-14 -9.2603628457e-13 0.0000000000e+00 2.3492817202e-11 2.9873226198e-12 -8.9581275381e-15
  74 2.5982665805e-10 5.0536787654e-14 -9.8994651949e-13 0.0000000000e+00 2.2729732134e-11 2.9057752176e-12 -9.0892176353e-15
  75 2.6311677519e-10 5.2389752678e-14 -1.0555015113e-12 0.0000000000e+00 2.1998637434e-11 2.8276958551e-12 -9.3241054073e-15
  76 2.6643907541e-10 5.4266152174e-14 -1.1226375779e-12 0.0000000000e+00 2.1299160607e-11 2.7530046085e-12 -9.6411340866e-15
  77 2.6979401119e-10 5.6164643842e-14 -1.1912848828e-12 0.0000000000e+00 2.0630422670e-11 2.6815610351e-12 -1.0015706606e-14
  78 2.7318164367e-10 5.8083820333e-14 -1.2613672884e-12 0.0000000000e+00 1.9991014922e-11 2.6131614440e-12 -1.0420182843e-14
  79 2.7660162110e-10 6.0022208533e-14 -1.3328022098e-12 0.0000000000e+00 1.9378975709e-11 2.5475361655e-12 -1.0823776865e-14
  80 2.8005315723e-10 6.1978268840e-14 -1.4055004683e-12 0.0000000000e+00 1.8791767188e-11 2.4843468215e-12 -1.1192454176e-14
  81 2.8353500972e-10 6.3950394443e-14 -1.4793661450e-12 0.0000000000e+00 1.8226252096e-11 2.4231835952e-12 -1.1488828960e-14
  82 2.8704600993e-10 6.5936959502e-14 -1.5543083184e-12 0.0000000000e+00 1.7679478531e-11 2.3636671715e-12 -1.1680237408e-14
  83 2.9058680290e-10 6.7936474676e-14 -1.6302788896e-12 0.0000000000e+00 1.7151238444e-11 2.3057804414e-12 -1.1764758537e-14
  84 2.9415836440e-10 6.9947456780e-14 -1.7072409352e-12 0.0000000000e+00 1.6641902658e-11 2.2495883329e-12 -1.1749439898e-14
  85 2.9776146411e-10 7.1968382374e-14 -1.7851574560e-12 0.0000000000e+00 1.6151642576e-11 2.1951372690e-12 -1.1642554523e-14
  86 3.0139665381e-10 7.3997687895e-14 -1.8639914398e-12 0.0000000000e+00 1.5680421185e-11 2.1424542839e-12 -1.1453642320e-14
  87 3.0506425541e-10 7.6033769810e-14 -1.9437059249e-12 0.0000000000e+00 1.5227984074e-11 2.0915461380e-12 -1.1193551483e-14
  88 3.0876434919e-10 7.8074984746e-14 -2.0242640627e-12 0.0000000000e+00 1.4793850443e-11 2.0423984336e-12 -1.0874479889e-14
