# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.4824896196e-10 7.2386004850e-15 4.8388113164e-13 2.3497639266e-19 8.8357900715e-09 4.7656997880e-10 -2.5013254707e-12
   3 1.3998417550e-10 1.2284759224e-14 6.0788619669e-13 4.7016737138e-19 5.4237847078e-09 3.3945868999e-10 -2.2020873079e-12
   4 1.3174681744e-10 1.4389493707e-14 6.2963639525e-13 7.8408200527e-19 3.7585942604e-09 2.5816433221e-10 -1.7589144113e-12
   5 1.2524478410e-10 1.3351472799e-14 5.8987975749e-13 1.1769868066e-18 2.7978062527e-09 2.0473866915e-10 -1.3081166324e-12
   6 1.2044611636e-10 1.0341773361e-14 5.1920626088e-13 1.6491986712e-18 2.1813424331e-09 1.6709800174e-10 -9.0103342284e-13
   7 1.1710443109e-10 6.8846601078e-15 4.3894966229e-13 2.2010749712e-18 1.7561821724e-09 1.3930957091e-10 -5.4773445780e-13
   8 1.1483389852e-10 4.0811049149e-15 3.5986628013e-13 2.8330025412e-18 1.4497134491e-09 1.1803931915e-10 -2.7294799272e-13
   9 1.1348066170e-10 2.3603061085e-15 2.9010828840e-13 3.5453859759e-18 1.2190088712e-09 1.0140177825e-10 -7.4012231751e-14
  10 1.1279800973e-10 1.5789314389e-15 2.3338459530e-13 4.3386356833e-18 1.0401634593e-09 8.8084045261e-11 5.4500087576e-14
  11 1.1265489409e-10 1.3460171392e-15 1.9181473011e-13 5.2131561421e-18 8.8651664937e-10 7.7904531972e-11 1.2155070042e-13
  12 1.1292335447e-10 1.2891925052e-15 1.6486011203e-13 6.1693348041e-18 7.7421067995e-10 6.8923551710e-11 1.4203961928e-13
  13 1.1352157529e-10 1.2069048979e-15 1.5105422131e-13 7.2075320511e-18 6.8207147564e-10 6.1405255812e-11 1.2857392810e-13
  14 1.1437617774e-10 1.0659162981e-15 1.4771889234e-13 8.3280725741e-18 6.0546026404e-10 5.5095668868e-11 9.4752525913e-14
  15 1.1541502762e-10 9.2859867292e-16 1.5160393361e-13 9.5312380003e-18 5.4076989668e-10 4.9720352401e-11 5.2595818042e-14
  16 1.1664868896e-10 8.4269968440e-16 1.6032640868e-13 1.0817264384e-17 4.8623591569e-10 4.5196576497e-11 1.0051208636e-14
  17 1.1798922643e-10 8.3951023106e-16 1.7081733466e-13 1.2186334005e-17 4.3918710156e-10 4.1246881726e-11 -2.5286943993e-14
  18 1.1944766685e-10 8.9719215014e-16 1.8147109741e-13 1.3638582472e-17 3.9867435103e-10 3.7793613310e-11 -5.0086827746e-14
  19 1.2100632647e-10 9.6838198624e-16 1.9103989865e-13 1.5174090937e-17 3.6326899198e-10 3.4738817812e-11 -6.3289311130e-14
  20 1.2266403800e-10 1.0337158816e-15 1.9906964077e-13 1.6792901975e-17 3.3237973314e-10 3.2038690333e-11 -6.5649109959e-14
  21 1.2438510761e-10 1.0863121688e-15 2.0546819547e-13 1.8495010326e-17 3.0508968760e-10 2.9617641267e-11 -5.9487426057e-14
  22 1.2616842195e-10 1.1448968078e-15 2.1060189061e-13 2.0280382334e-17 2.8093866409e-10 2.7447579260e-11 -4.7704844336e-14
  23 1.2800035985e-10 1.2369125608e-15 2.1506682687e-13 2.2148951469e-17 2.5930095211e-10 2.5488935772e-11 -3.3851425097e-14
  24 1.2989470623e-10 1.3699655830e-15 2.1930197869e-13 2.4100658123e-17 2.4006316487e-10 2.3737299720e-11 -2.0053846398e-14
  25 1.3184669103e-10 1.5441562616e-15 2.2377186599e-13 2.6135423665e-17 2.2295152005e-10 2.2170819418e-11 -8.3584821724e-15
  26 1.3382725443e-10 1.7576279867e-15 2.2893015307e-13 2.8253155111e-17 2.0741545796e-10 2.0742841164e-11 -8.1769559428e-16
  27 1.3584204674e-10 2.0073095875e-15 2.3478953171e-13 3.0453803633e-17 1.9334431263e-10 1.9445010477e-11 2.3815654873e-15
  28 1.3789154073e-10 2.2880983141e-15 2.4115303856e-13 3.2737334163e-17 1.8060213546e-10 1.8266138974e-11 1.8930683834e-15
  29 1.3996317206e-10 2.5939935172e-15 2.4772358990e-13 3.5103726381e-17 1.6892530716e-10 1.7183270376e-11 -1.3242736680e-15
  30 1.4206697727e-10 2.9236050930e-15 2.5415846883e-13 3.7553021429e-17 1.5828898878e-10 1.6194613264e-11 -6.4134643936e-15
  31 1.4421056763e-10 3.2767194795e-15 2.6001889634e-13 4.0085299758e-17 1.4865899712e-10 1.5297151472e-11 -1.2323516381e-14
  32 1.4638773522e-10 3.6528751919e-15 2.6474317908e-13 4.2700674454e-17 1.3988178702e-10 1.4476686481e-11 -1.7671513987e-14
  33 1.4858467299e-10 4.0518009712e-15 2.6776058196e-13 4.5399295994e-17 1.3174457516e-10 1.3713406298e-11 -2.1072707222e-14
  34 1.5080625021e-10 4.4749868661e-15 2.6891387177e-13 4.8181358477e-17 1.2421801749e-10 1.3004411188e-11 -2.2358817892e-14
  35 1.5305718467e-10 4.9247074345e-15 2.6818768321e-13 5.1047102528e-17 1.1728833740e-10 1.2348104741e-11 -2.1798823925e-14
  36 1.5533391883e-10 5.4036496107e-15 2.6560162761e-13 5.3996818994e-17 1.1088688578e-10 1.1737635067e-11 -1.9793796707e-14
  37 1.5762875860e-10 5.9145320107e-15 2.6121138911e-13 5.7030829295e-17 1.0491894462e-10 1.1163834604e-11 -1.6825351141e-14
  38 1.5994648240e-10 6.4587228772e-15 2.5510534314e-13 6.0149407736e-17 9.9375936824e-11 1.0626588700e-11 -1.3252256823e-14
  39 1.6229204983e-10 7.0371787216e-15 2.4741155232e-13 6.3352838342e-17 9.4254338714e-11 1.0126670120e-11 -9.4589424642e-15
