# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3300, i.e. number of multipoles equal to 3299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.4768064457e-10 7.2412910354e-15 4.8233009781e-13 0.0000000000e+00 8.8430085696e-09 4.7658153719e-10 -2.4988897610e-12
   3 1.4023179650e-10 1.2289599285e-14 6.0888442000e-13 0.0000000000e+00 5.4077828699e-09 3.3925537827e-10 -2.2026685736e-12
   4 1.3166334250e-10 1.4364892768e-14 6.2862995061e-13 0.0000000000e+00 3.7520725426e-09 2.5831501802e-10 -1.7547917548e-12
   5 1.2507093940e-10 1.3310681659e-14 5.8850183225e-13 0.0000000000e+00 2.7950698520e-09 2.0483080840e-10 -1.3038082631e-12
   6 1.2027642105e-10 1.0295714250e-14 5.1783361246e-13 0.0000000000e+00 2.1793376098e-09 1.6719885019e-10 -8.9737758785e-13
   7 1.1688511906e-10 6.8432250666e-15 4.3727648686e-13 0.0000000000e+00 1.7537785808e-09 1.3939123078e-10 -5.4417646927e-13
   8 1.1464481067e-10 4.0503492102e-15 3.5844188675e-13 0.0000000000e+00 1.4471656549e-09 1.1813232133e-10 -2.6969712748e-13
   9 1.1329148836e-10 2.3408715590e-15 2.8896836618e-13 0.0000000000e+00 1.2164610580e-09 1.0145807475e-10 -7.1310878290e-14
  10 1.1263302448e-10 1.5670694500e-15 2.3250101616e-13 0.0000000000e+00 1.0379713469e-09 8.8160121094e-11 5.6933910102e-14
  11 1.1249445715e-10 1.3369241529e-15 1.9125875620e-13 0.0000000000e+00 8.8490116722e-10 7.7837593627e-11 1.2327585963e-13
  12 1.1275779158e-10 1.2791779010e-15 1.6444177958e-13 0.0000000000e+00 7.7282289204e-10 6.8898907278e-11 1.4334366094e-13
  13 1.1335401063e-10 1.1948056761e-15 1.5082309766e-13 0.0000000000e+00 6.8086143051e-10 6.1574101844e-11 1.2988506902e-13
  14 1.1420337352e-10 1.0522498040e-15 1.4762080966e-13 0.0000000000e+00 6.0438587507e-10 5.5293404467e-11 9.5847948714e-14
  15 1.1523295019e-10 9.1481018765e-16 1.5150845942e-13 0.0000000000e+00 5.3981436239e-10 4.9814055183e-11 5.3564916016e-14
  16 1.1646186111e-10 8.2951830815e-16 1.6015397483e-13 0.0000000000e+00 4.8539237100e-10 4.5169621351e-11 1.1103278890e-14
  17 1.1781221005e-10 8.2626220496e-16 1.7057315915e-13 0.0000000000e+00 4.3843651114e-10 4.1196286946e-11 -2.4025934424e-14
  18 1.1928601463e-10 8.8293824897e-16 1.8116018245e-13 0.0000000000e+00 3.9799786931e-10 3.7793031444e-11 -4.8581926843e-14
  19 1.2084984681e-10 9.5240206381e-16 1.9065444575e-13 0.0000000000e+00 3.6265487472e-10 3.4782554533e-11 -6.1599392007e-14
  20 1.2250321816e-10 1.0155827246e-15 1.9870230246e-13 0.0000000000e+00 3.3181971546e-10 3.2093319924e-11 -6.3815438526e-14
  21 1.2421755488e-10 1.0659743856e-15 2.0532102599e-13 0.0000000000e+00 3.0457875793e-10 2.9645363825e-11 -5.7503290837e-14
  22 1.2599565158e-10 1.1225630534e-15 2.1073766288e-13 0.0000000000e+00 2.8047193146e-10 2.7441005279e-11 -4.5608062564e-14
  23 1.2782649321e-10 1.2129577730e-15 2.1533719969e-13 0.0000000000e+00 2.5887318660e-10 2.5480415662e-11 -3.1752024442e-14
  24 1.2972260678e-10 1.3445178212e-15 2.1958030580e-13 0.0000000000e+00 2.3966921626e-10 2.3753120922e-11 -1.8068612778e-14
  25 1.3167604295e-10 1.5168628324e-15 2.2405596275e-13 0.0000000000e+00 2.2258712058e-10 2.2210574685e-11 -6.5823672845e-15
  26 1.3365462926e-10 1.7276755836e-15 2.2934763575e-13 0.0000000000e+00 2.0707776440e-10 2.0778847493e-11 6.8874265126e-16
  27 1.3566518056e-10 1.9740940261e-15 2.3545273480e-13 0.0000000000e+00 1.9303075720e-10 1.9455227738e-11 3.6039119004e-15
  28 1.3771129443e-10 2.2515383193e-15 2.4209819154e-13 0.0000000000e+00 1.8031034313e-10 1.8248433701e-11 2.8773966946e-15
  29 1.3978345839e-10 2.5545192569e-15 2.4890349596e-13 0.0000000000e+00 1.6865331706e-10 1.7156010381e-11 -4.7034838322e-16
  30 1.4189085516e-10 2.8815110434e-15 2.5550092692e-13 0.0000000000e+00 1.5803490064e-10 1.6176152433e-11 -5.5722591485e-15
  31 1.4403861088e-10 3.2318942961e-15 2.6144485764e-13 0.0000000000e+00 1.4842101160e-10 1.5297982149e-11 -1.1387501978e-14
  32 1.4621730337e-10 3.6046810185e-15 2.6616846013e-13 0.0000000000e+00 1.3965842217e-10 1.4496669014e-11 -1.6551111405e-14
  33 1.4841016317e-10 3.9991401089e-15 2.6909763480e-13 0.0000000000e+00 1.3153476573e-10 1.3741840361e-11 -1.9702476137e-14
  34 1.5062291362e-10 4.4170458592e-15 2.7007317572e-13 0.0000000000e+00 1.2402074717e-10 1.3030597054e-11 -2.0696170436e-14
  35 1.5286269753e-10 4.8612764717e-15 2.6907973743e-13 0.0000000000e+00 1.1710259105e-10 1.2365194346e-11 -1.9828457860e-14
  36 1.5512908659e-10 5.3352787927e-15 2.6613931198e-13 0.0000000000e+00 1.1071173491e-10 1.1743854841e-11 -1.7534716773e-14
  37 1.5741743106e-10 5.8424643413e-15 2.6131741150e-13 0.0000000000e+00 1.0475359275e-10 1.1162481510e-11 -1.4333564220e-14
  38 1.5973263232e-10 6.3840335500e-15 2.5473662576e-13 0.0000000000e+00 9.9219606019e-11 1.0621589118e-11 -1.0607399949e-14
  39 1.6207875982e-10 6.9604426961e-15 2.4657308774e-13 0.0000000000e+00 9.4106272362e-11 1.0121141771e-11 -6.7620539064e-15
  40 1.6445464147e-10 7.5719700420e-15 2.3705716585e-13 0.0000000000e+00 8.9381906369e-11 9.6583811355e-12 -3.2926862211e-15
  41 1.6685329396e-10 8.2187028945e-15 2.2647687326e-13 0.0000000000e+00 8.4984085115e-11 9.2275772201e-12 -7.8942092414e-16
  42 1.6926583934e-10 8.9007732231e-15 2.1509102642e-13 0.0000000000e+00 8.0840516847e-11 8.8219805178e-12 2.2116377950e-16
  43 1.7169610274e-10 9.6191850856e-15 2.0282752072e-13 0.0000000000e+00 7.6945679039e-11 8.4410154910e-12 -1.7463702243e-16
  44 1.7414970929e-10 1.0375229148e-14 1.8949462650e-13 0.0000000000e+00 7.3304310327e-11 8.0849606631e-12 -1.6613821104e-15
  45 1.7662973873e-10 1.1170260549e-14 1.7486035697e-13 0.0000000000e+00 6.9909142232e-11 7.7528466492e-12 -3.8382673802e-15
  46 1.7913645392e-10 1.2005702473e-14 1.5864988088e-13 0.0000000000e+00 6.6739901072e-11 7.4423532078e-12 -6.2138530230e-15
  47 1.8166702925e-10 1.2883049725e-14 1.4054293507e-13 0.0000000000e+00 6.3762309866e-11 7.1497062937e-12 -8.2007907051e-15
