# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.4768112516e-10 7.2415254029e-15 4.8233009259e-13 2.3436748778e-19 8.8430085696e-09 4.7658153719e-10 -2.4988897610e-12
   3 1.4023275548e-10 1.2290068238e-14 6.0888439680e-13 4.6895244374e-19 5.4077828699e-09 3.3925537827e-10 -2.2026685736e-12
   4 1.3166493599e-10 1.4365674833e-14 6.2862988412e-13 7.8206331029e-19 3.7520725426e-09 2.5831501802e-10 -1.7547917548e-12
   5 1.2507332071e-10 1.3311855635e-14 5.8850168129e-13 1.1739698411e-18 2.7950698520e-09 2.0483080840e-10 -1.3038082631e-12
   6 1.2027974017e-10 1.0297359259e-14 5.1783331681e-13 1.6449924944e-18 2.1793376098e-09 1.6719885019e-10 -8.9737758785e-13
   7 1.1688952215e-10 6.8454205964e-15 4.3727596462e-13 2.1954922390e-18 1.7537785808e-09 1.3939123078e-10 -5.4417646927e-13
   8 1.1465043967e-10 4.0531751469e-15 3.5844103221e-13 2.8258592334e-18 1.4471656549e-09 1.1813232133e-10 -2.6969712748e-13
   9 1.1329848066e-10 2.3444082054e-15 2.8896704825e-13 3.5365008131e-18 1.2164610580e-09 1.0145807475e-10 -7.1310878290e-14
  10 1.1264151274e-10 1.5713975329e-15 2.3249907743e-13 4.3278292485e-18 1.0379713469e-09 8.8160121094e-11 5.6933910102e-14
  11 1.1250456920e-10 1.3421248178e-15 1.9125601250e-13 5.2002497384e-18 8.8490116722e-10 7.7837593627e-11 1.2327585963e-13
  12 1.1276965039e-10 1.2853326942e-15 1.6443802004e-13 6.1541490964e-18 7.7282289204e-10 6.8898907278e-11 1.4334366094e-13
  13 1.1336773440e-10 1.2019965152e-15 1.5081808528e-13 7.1898855540e-18 6.8086143051e-10 6.1574101844e-11 1.2988506902e-13
  14 1.1421907583e-10 1.0605589376e-15 1.4761428222e-13 8.3077800596e-18 6.0438587507e-10 5.5293404467e-11 9.5847948714e-14
  15 1.1525074027e-10 9.2432014545e-16 1.5150013066e-13 9.5081088784e-18 5.3981436239e-10 4.9814055183e-11 5.3564916016e-14
  16 1.1648184407e-10 8.4031184420e-16 1.6014353577e-13 1.0791101305e-17 4.8539237100e-10 4.5169621351e-11 1.1103278890e-14
  17 1.1783448725e-10 8.3842223181e-16 1.7056027975e-13 1.2156931336e-17 4.3843651114e-10 4.1196286946e-11 -2.4025934424e-14
  18 1.1931068405e-10 8.9654777248e-16 1.8114451284e-13 1.3605725426e-17 3.9799786931e-10 3.7793031444e-11 -4.8581926843e-14
  19 1.2087700340e-10 9.6754410889e-16 1.9063561787e-13 1.5137554586e-17 3.6265487472e-10 3.4782554533e-11 -6.1599392007e-14
  20 1.2253295420e-10 1.0323402703e-15 1.9867993099e-13 1.6752451157e-17 3.3181971546e-10 3.2093319924e-11 -6.3815438526e-14
  21 1.2424996037e-10 1.0844302899e-15 2.0529470969e-13 1.8450399395e-17 3.0457875793e-10 2.9645363825e-11 -5.7503290837e-14
  22 1.2603081451e-10 1.1427999907e-15 2.1070698509e-13 2.0231355884e-17 2.8047193146e-10 2.7441005279e-11 -4.5608062564e-14
  23 1.2786449993e-10 1.2350581662e-15 2.1530172918e-13 2.2095245006e-17 2.5887318660e-10 2.5480415662e-11 -3.1752024442e-14
  24 1.2976354206e-10 1.3685638079e-15 2.1953959631e-13 2.4042000089e-17 2.3966921626e-10 2.3753120922e-11 -1.8068612778e-14
  25 1.3171999023e-10 1.5429362041e-15 2.2400955347e-13 2.6071536895e-17 2.2258712058e-10 2.2210574685e-11 -6.5823672845e-15
  26 1.3370167092e-10 1.7558577278e-15 2.2929505180e-13 2.8183758498e-17 2.0707776440e-10 2.0778847493e-11 6.8874265126e-16
  27 1.3571539773e-10 2.0044659238e-15 2.3539348622e-13 3.0378615259e-17 1.9303075720e-10 1.9455227738e-11 3.6039119004e-15
  28 1.3776476707e-10 2.2841805092e-15 2.4203177315e-13 3.2656073979e-17 1.8031034313e-10 1.8248433701e-11 2.8773966946e-15
  29 1.3984026534e-10 2.5895118010e-15 2.4882938769e-13 3.5016118677e-17 1.6865331706e-10 1.7156010381e-11 -4.7034838322e-16
  30 1.4195107376e-10 2.9189335487e-15 2.5541859461e-13 3.7458796905e-17 1.5803490064e-10 1.6176152433e-11 -5.5722591485e-15
  31 1.4410231685e-10 3.2718259035e-15 2.6135375357e-13 3.9984198228e-17 1.4842101160e-10 1.5297982149e-11 -1.1387501978e-14
  32 1.4628457078e-10 3.6472003808e-15 2.6606802335e-13 4.2592447940e-17 1.3965842217e-10 1.4496669014e-11 -1.6551111405e-14
  33 1.4848106427e-10 4.0443253763e-15 2.6898729258e-13 4.5283711044e-17 1.3153476573e-10 1.3741840361e-11 -1.9702476137e-14
  34 1.5069751849e-10 4.4649746916e-15 2.6995234851e-13 4.8058195193e-17 1.2402074717e-10 1.3030597054e-11 -2.0696170436e-14
  35 1.5294107381e-10 4.9120260379e-15 2.6894784171e-13 5.0916155964e-17 1.1710259105e-10 1.2365194346e-11 -1.9828457860e-14
  36 1.5521129929e-10 5.3889257650e-15 2.6599576227e-13 5.3857901567e-17 1.1071173491e-10 1.1743854841e-11 -1.7534716773e-14
  37 1.5750354237e-10 5.8990848756e-15 2.6116162448e-13 5.6883771326e-17 1.0475359275e-10 1.1162481510e-11 -1.4333564220e-14
  38 1.5982270166e-10 6.4437032055e-15 2.5456803147e-13 5.9994051221e-17 9.9219606019e-11 1.0621589118e-11 -1.0607399949e-14
  39 1.6217284372e-10 7.0232363975e-15 2.4639113636e-13 6.3189035285e-17 9.4106272362e-11 1.0121141771e-11 -6.7620539064e-15
  40 1.6455279336e-10 7.6379620587e-15 2.3686133305e-13 6.6469050922e-17 8.9381906369e-11 9.6583811355e-12 -3.2926862211e-15
  41 1.6695556398e-10 8.2879668205e-15 2.2626666571e-13 6.9834461055e-17 8.4984085115e-11 9.2275772201e-12 -7.8942092414e-16
  42 1.6937227425e-10 8.9733819074e-15 2.1486598939e-13 7.3285616688e-17 8.0840516847e-11 8.8219805178e-12 2.2116377950e-16
