# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3300, i.e. number of multipoles equal to 3299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.4785127680e-10 7.2470553062e-15 4.8363947184e-13 0.0000000000e+00 8.8367733699e-09 4.7639572385e-10 -2.5041368839e-12
   3 1.4041436082e-10 1.2299716023e-14 6.1025563982e-13 0.0000000000e+00 5.4239705093e-09 3.3918974057e-10 -2.2061078400e-12
   4 1.3184691853e-10 1.4390902052e-14 6.3011447060e-13 0.0000000000e+00 3.7586064332e-09 2.5814584673e-10 -1.7583742397e-12
   5 1.2525268941e-10 1.3350115833e-14 5.9001622500e-13 0.0000000000e+00 2.7978073527e-09 2.0464921916e-10 -1.3073386913e-12
   6 1.2045461805e-10 1.0339844268e-14 5.1931699599e-13 0.0000000000e+00 2.1813490007e-09 1.6703923404e-10 -9.0078249281e-13
   7 1.1705956474e-10 6.8822556030e-15 4.3870159738e-13 0.0000000000e+00 1.7561869623e-09 1.3927798354e-10 -5.4697554176e-13
   8 1.1481493513e-10 4.0781882556e-15 3.5973887839e-13 0.0000000000e+00 1.4497151952e-09 1.1804551887e-10 -2.7184599260e-13
   9 1.1345698669e-10 2.3568603649e-15 2.9016308502e-13 0.0000000000e+00 1.2190091267e-09 1.0138353994e-10 -7.2989619900e-14
  10 1.1279418700e-10 1.5746538250e-15 2.3348297294e-13 0.0000000000e+00 1.0401619876e-09 8.8093005703e-11 5.5602148046e-14
  11 1.1265219614e-10 1.3409472795e-15 1.9201700174e-13 0.0000000000e+00 8.8652552048e-10 7.7787602387e-11 1.2253749313e-13
  12 1.1291191333e-10 1.2831105580e-15 1.6507753397e-13 0.0000000000e+00 7.7422318700e-10 6.8849207063e-11 1.4330968744e-13
  13 1.1350576189e-10 1.1997872271e-15 1.5129866028e-13 0.0000000000e+00 6.8208044969e-10 6.1526019060e-11 1.3027715250e-13
  14 1.1435258735e-10 1.0576975128e-15 1.4796311108e-13 0.0000000000e+00 6.0545626874e-10 5.5251593822e-11 9.6395501265e-14
  15 1.1538018295e-10 9.1930886508e-16 1.5181113604e-13 0.0000000000e+00 5.4076313245e-10 4.9779087393e-11 5.4287550116e-14
  16 1.1660750178e-10 8.3234025345e-16 1.6046071716e-13 0.0000000000e+00 4.8623571734e-10 4.5140897318e-11 1.1923948684e-14
  17 1.1795564297e-10 8.2797519245e-16 1.7085014356e-13 0.0000000000e+00 4.3919105569e-10 4.1172751647e-11 -2.3408980484e-14
  18 1.1942702731e-10 8.8439334920e-16 1.8145038272e-13 0.0000000000e+00 3.9867818631e-10 3.7773792450e-11 -4.8327649206e-14
  19 1.2098899053e-10 9.5427802475e-16 1.9109753612e-13 0.0000000000e+00 3.6327053037e-10 3.4767144965e-11 -6.1596801214e-14
  20 1.2264079643e-10 1.0181725758e-15 1.9924786542e-13 0.0000000000e+00 3.3237901288e-10 3.2080974676e-11 -6.4001247712e-14
  21 1.2435324464e-10 1.0690622910e-15 2.0567393436e-13 0.0000000000e+00 3.0508885346e-10 2.9634895028e-11 -5.7944463949e-14
  22 1.2612926172e-10 1.1256862194e-15 2.1081107054e-13 0.0000000000e+00 2.8093903074e-10 2.7431530531e-11 -4.6232527627e-14
  23 1.2795816729e-10 1.2155610191e-15 2.1538700178e-13 0.0000000000e+00 2.5930203119e-10 2.5471638990e-11 -3.2285170568e-14
  24 1.2985252627e-10 1.3463544541e-15 2.1983982991e-13 0.0000000000e+00 2.4006425232e-10 2.3744872384e-11 -1.8316484013e-14
  25 1.3180426026e-10 1.5182400417e-15 2.2457703841e-13 0.0000000000e+00 2.2295229121e-10 2.2202681042e-11 -6.5714912830e-15
  26 1.3378102407e-10 1.7294364631e-15 2.2999051011e-13 0.0000000000e+00 2.0741601374e-10 2.0771151080e-11 7.1062010504e-16
  27 1.3578967138e-10 1.9768760493e-15 2.3609341410e-13 0.0000000000e+00 1.9334480119e-10 1.9447611857e-11 3.4502573110e-15
  28 1.3783389643e-10 2.2554288218e-15 2.4271356657e-13 0.0000000000e+00 1.8060261751e-10 1.8240848429e-11 2.5484180217e-15
  29 1.3990425980e-10 2.5590217430e-15 2.4957342324e-13 0.0000000000e+00 1.6892575051e-10 1.7148476086e-11 -7.8678804064e-16
  30 1.4200993792e-10 2.8860356000e-15 2.5629591719e-13 0.0000000000e+00 1.5828935847e-10 1.6168680666e-11 -5.7120865529e-15
  31 1.4415599816e-10 3.2359307513e-15 2.6238230391e-13 0.0000000000e+00 1.4865928759e-10 1.5290546581e-11 -1.1295195458e-14
  32 1.4633291531e-10 3.6078439157e-15 2.6719629675e-13 0.0000000000e+00 1.3988203084e-10 1.4489196598e-11 -1.6313968479e-14
  33 1.4852380947e-10 4.0012245359e-15 2.7009733861e-13 0.0000000000e+00 1.3174484000e-10 1.3734230921e-11 -1.9543787450e-14
  34 1.5073442613e-10 4.4181107576e-15 2.7093351216e-13 0.0000000000e+00 1.2421836026e-10 1.3022843515e-11 -2.0818135571e-14
  35 1.5297197078e-10 4.8617180380e-15 2.6972565002e-13 0.0000000000e+00 1.1728878542e-10 1.2357441200e-11 -2.0350345572e-14
  36 1.5523608139e-10 5.3359028430e-15 2.6654338979e-13 0.0000000000e+00 1.1088742824e-10 1.1736433377e-11 -1.8468006848e-14
  37 1.5752216794e-10 5.8444270944e-15 2.6150168555e-13 0.0000000000e+00 1.0491953387e-10 1.1155884897e-11 -1.5579364585e-14
  38 1.5983515089e-10 6.3883188900e-15 2.5473905968e-13 0.0000000000e+00 9.9376524283e-11 1.0616234985e-11 -1.2034847054e-14
  39 1.6217909962e-10 6.9676451941e-15 2.4643817245e-13 0.0000000000e+00 9.4254887489e-11 1.0117275347e-11 -8.2316379887e-15
  40 1.6455283052e-10 7.5821935027e-15 2.3683592687e-13 0.0000000000e+00 8.9522880959e-11 9.6560316354e-12 -4.6581469857e-15
  41 1.6694933628e-10 8.2314521356e-15 2.2622684639e-13 0.0000000000e+00 8.5117972934e-11 9.2265113525e-12 -1.8998428991e-15
  42 1.6935971171e-10 8.9149816801e-15 2.1487414290e-13 0.0000000000e+00 8.0967746507e-11 8.8217196784e-12 -4.8703252815e-16
  43 1.7178778598e-10 9.6337177443e-15 2.0270099996e-13 0.0000000000e+00 7.7066667529e-11 8.4410750956e-12 -3.6631856292e-16
  44 1.7423919417e-10 1.0389050261e-14 1.8950657942e-13 0.0000000000e+00 7.3419480895e-11 8.0849333024e-12 -1.2705014199e-15
  45 1.7671702198e-10 1.1182474571e-14 1.7504709050e-13 0.0000000000e+00 7.0018904618e-11 7.7524263524e-12 -2.8574376458e-15
  46 1.7922153385e-10 1.2015597711e-14 1.5903303380e-13 0.0000000000e+00 6.6844630101e-11 7.4413612539e-12 -4.7053713415e-15
  47 1.8174990096e-10 1.2890144689e-14 1.4112644549e-13 0.0000000000e+00 6.3862322410e-11 7.1481185693e-12 -6.3082655855e-15
  48 1.8429831483e-10 1.3807495238e-14 1.2102547334e-13 0.0000000000e+00 6.1034423664e-11 6.8687793394e-12 -7.1965408247e-15
  49 1.8686966710e-10 1.4767124983e-14 9.8752727445e-14 0.0000000000e+00 5.8358497021e-11 6.6031180971e-12 -7.3504295213e-15
  50 1.8946756737e-10 1.5767735654e-14 7.4443477120e-14 0.0000000000e+00 5.5837973746e-11 6.3515612174e-12 -6.8951199812e-15
  51 1.9209400011e-10 1.6807669011e-14 4.8267073618e-14 0.0000000000e+00 5.3470906056e-11 6.1140190897e-12 -5.9872097904e-15
  52 1.9474917442e-10 1.7884889177e-14 2.0428649956e-14 0.0000000000e+00 5.1249569594e-11 5.8898473857e-12 -4.8164355530e-15
  53 1.9743137381e-10 1.8996964961e-14 -8.8291792696e-15 0.0000000000e+00 4.9160065899e-11 5.6778083297e-12 -3.6074026301e-15
  54 2.0013680597e-10 2.0141052184e-14 -3.9224618057e-14 0.0000000000e+00 4.7181924883e-11 5.4760319666e-12 -2.6213148773e-15
