# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.4785175808e-10 7.2472901886e-15 4.8363946665e-13 2.3488232876e-19 8.8367733699e-09 4.7639572385e-10 -2.5041368839e-12
   3 1.4041532120e-10 1.2300186007e-14 6.1025561672e-13 4.6998366479e-19 5.4239705093e-09 3.3918974057e-10 -2.2061078400e-12
   4 1.3184851432e-10 1.4391685839e-14 6.3011440438e-13 7.8378536411e-19 3.7586064332e-09 2.5814584673e-10 -1.7583742397e-12
   5 1.2525507415e-10 1.3351292398e-14 5.9001607459e-13 1.1765590457e-18 2.7978073527e-09 2.0464921916e-10 -1.3073386913e-12
   6 1.2045794194e-10 1.0341492913e-14 5.1931670133e-13 1.6486273454e-18 2.1813490007e-09 1.6703923404e-10 -9.0078249281e-13
   7 1.1706397414e-10 6.8844559976e-15 4.3870107671e-13 2.2003536292e-18 1.7561869623e-09 1.3927798354e-10 -5.4697554176e-13
   8 1.1482057217e-10 4.0810204706e-15 3.5973802607e-13 2.8321305697e-18 1.4497151952e-09 1.1804551887e-10 -2.7184599260e-13
   9 1.1346398892e-10 2.3604048913e-15 2.9016176995e-13 3.5443680273e-18 1.2190091267e-09 1.0138353994e-10 -7.2989619900e-14
  10 1.1280268728e-10 1.5789915818e-15 2.3348103750e-13 4.3374806997e-18 1.0401619876e-09 8.8093005703e-11 5.5602148046e-14
  11 1.1266232242e-10 1.3461596073e-15 1.9201426135e-13 5.2118760129e-18 8.8652552048e-10 7.7787602387e-11 1.2253749313e-13
  12 1.1292378874e-10 1.2892792017e-15 1.6507377705e-13 6.1679427138e-18 7.7422318700e-10 6.8849207063e-11 1.4330968744e-13
  13 1.1351950476e-10 1.2069943055e-15 1.5129364880e-13 7.2060405919e-18 6.8208044969e-10 6.1526019060e-11 1.3027715250e-13
  14 1.1436831140e-10 1.0660254780e-15 1.4795658136e-13 8.3264917137e-18 6.0545626874e-10 5.5251593822e-11 9.6395501265e-14
  15 1.1539799751e-10 9.2884045125e-16 1.5180280003e-13 9.5295729723e-18 5.4076313245e-10 4.9779087393e-11 5.4287550116e-14
  16 1.1662751206e-10 8.4315841962e-16 1.6045026367e-13 1.0815513806e-17 4.8623571734e-10 4.5140897318e-11 1.1923948684e-14
  17 1.1797795046e-10 8.4016305510e-16 1.7083724002e-13 1.2184487803e-17 4.3919105569e-10 4.1172751647e-11 -2.3408980484e-14
  18 1.1945173006e-10 8.9803411570e-16 1.8143467645e-13 1.3636620577e-17 3.9867818631e-10 3.7773792450e-11 -4.8327649206e-14
  19 1.2101618359e-10 9.6945491760e-16 1.9107865611e-13 1.5171981798e-17 3.6327053037e-10 3.4767144965e-11 -6.1596801214e-14
  20 1.2267057217e-10 1.0349687663e-15 1.9922542338e-13 1.6790602166e-17 3.3237901288e-10 3.2080974676e-11 -6.4001247712e-14
  21 1.2438569314e-10 1.0875608220e-15 2.0564752622e-13 1.8492463924e-17 3.0508885346e-10 2.9634895028e-11 -5.7944463949e-14
  22 1.2616447106e-10 1.1459699421e-15 2.1078027716e-13 2.0277521502e-17 2.8093903074e-10 2.7431530531e-11 -4.6232527627e-14
  23 1.2799622391e-10 1.2377125229e-15 2.1535139001e-13 2.2145696955e-17 2.5930203119e-10 2.5471638990e-11 -3.2285170568e-14
  24 1.2989351503e-10 1.3704560333e-15 2.1979895230e-13 2.4096921532e-17 2.4006425232e-10 2.3744872384e-11 -1.8316484013e-14
  25 1.3184826467e-10 1.5443736334e-15 2.2453043389e-13 2.6131108929e-17 2.2295229121e-10 2.2202681042e-11 -6.5714912830e-15
  26 1.3382812662e-10 1.7576835882e-15 2.2993770468e-13 2.8248160230e-17 2.0741601374e-10 2.0771151080e-11 7.1062010504e-16
  27 1.3583995328e-10 2.0073178125e-15 2.3603391992e-13 3.0448024445e-17 1.9334480119e-10 1.9447611857e-11 3.4502573110e-15
  28 1.3788743774e-10 2.2881458761e-15 2.4264688192e-13 3.2730667418e-17 1.8060261751e-10 1.8240848429e-11 2.5484180217e-15
  29 1.3996113944e-10 2.5940942561e-15 2.4949903296e-13 3.5096072590e-17 1.6892575051e-10 1.7148476086e-11 -7.8678804064e-16
  30 1.4207023335e-10 2.9235432809e-15 2.5621329318e-13 3.7544287661e-17 1.5828935847e-10 1.6168680666e-11 -5.7120865529e-15
  31 1.4421978519e-10 3.2759528433e-15 2.6229090548e-13 4.0075402948e-17 1.4865928759e-10 1.5290546581e-11 -1.1295195458e-14
  32 1.4640026809e-10 3.6504591753e-15 2.6709557108e-13 4.2689545094e-17 1.3988203084e-10 1.4489196598e-11 -1.6313968479e-14
  33 1.4859480035e-10 4.0465112228e-15 2.6998672190e-13 4.5386881024e-17 1.3174484000e-10 1.3734230921e-11 -1.9543787450e-14
  34 1.5080912530e-10 4.4661466543e-15 2.7081243385e-13 4.8167620673e-17 1.2421836026e-10 1.3022843515e-11 -2.0818135571e-14
  35 1.5305044597e-10 4.9125804544e-15 2.6959353514e-13 5.1032022479e-17 1.1728878542e-10 1.2357441200e-11 -2.0350345572e-14
  36 1.5531839769e-10 5.3896686163e-15 2.6639966063e-13 5.3980398217e-17 1.1088742824e-10 1.1736433377e-11 -1.8468006848e-14
  37 1.5760838760e-10 5.9011725735e-15 2.6134576537e-13 5.7013091162e-17 1.0491953387e-10 1.1155884897e-11 -1.5579364585e-14
  38 1.5992533341e-10 6.4481198588e-15 2.5457038296e-13 6.0130390429e-17 9.9376524283e-11 1.0616234985e-11 -1.2034847054e-14
  39 1.6227330160e-10 7.0305768383e-15 2.4625619101e-13 6.3332593221e-17 9.4254887489e-11 1.0117275347e-11 -8.2316379887e-15
  40 1.6465110547e-10 7.6483303944e-15 2.3664011460e-13 6.6620030501e-17 8.9522880959e-11 9.6560316354e-12 -4.6581469857e-15
  41 1.6705173436e-10 8.3008682196e-15 2.2601670415e-13 6.9993069149e-17 8.5117972934e-11 9.2265113525e-12 -1.8998428991e-15
  42 1.6946627975e-10 8.9877502047e-15 2.1464920569e-13 7.3452063943e-17 8.0967746507e-11 8.8217196784e-12 -4.8703252815e-16
  43 1.7189856815e-10 9.7099110061e-15 2.0246085098e-13 7.6997190041e-17 7.7066667529e-11 8.4410750956e-12 -3.6631856292e-16
  44 1.7435423218e-10 1.0468739478e-14 1.8925085985e-13 8.0628560740e-17 7.3419480895e-11 8.0849333024e-12 -1.2705014199e-15
