# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3300, i.e. number of multipoles equal to 3299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.5051555326e-10 7.4053372240e-15 4.9343164724e-13 0.0000000000e+00 8.9377536319e-09 4.8221250767e-10 -2.5510294630e-12
   3 1.4277756298e-10 1.2559638429e-14 6.2216582000e-13 0.0000000000e+00 5.4625465523e-09 3.4325509983e-10 -2.2465847628e-12
   4 1.3392911234e-10 1.4678384972e-14 6.4187305205e-13 0.0000000000e+00 3.7890697768e-09 2.6121932186e-10 -1.7889975880e-12
   5 1.2712017906e-10 1.3603419298e-14 6.0058226062e-13 0.0000000000e+00 2.8211479050e-09 2.0703839314e-10 -1.3290462737e-12
   6 1.2215835848e-10 1.0526400108e-14 5.2824879991e-13 0.0000000000e+00 2.1984178482e-09 1.6892348021e-10 -9.1496654519e-13
   7 1.1863634610e-10 7.0002247114e-15 4.4592145410e-13 0.0000000000e+00 1.7679137844e-09 1.4076724226e-10 -5.5533344819e-13
   8 1.1629373191e-10 4.1446054446e-15 3.6541938463e-13 0.0000000000e+00 1.4583287793e-09 1.1926314750e-10 -2.7579436502e-13
   9 1.1485713203e-10 2.3936861648e-15 2.9449326793e-13 0.0000000000e+00 1.2253960342e-09 1.0238018192e-10 -7.3752287845e-14
  10 1.1413386641e-10 1.5988338658e-15 2.3679551252e-13 0.0000000000e+00 1.0453716447e-09 8.8945816402e-11 5.6738125698e-14
  11 1.1394175998e-10 1.3612586149e-15 1.9460930036e-13 0.0000000000e+00 8.9132152616e-10 7.8529068173e-11 1.2436915789e-13
  12 1.1416106153e-10 1.3019163805e-15 1.6715615958e-13 0.0000000000e+00 7.7826632942e-10 6.9493837390e-11 1.4520742832e-13
  13 1.1472051011e-10 1.2165533421e-15 1.5312555418e-13 0.0000000000e+00 6.8552320275e-10 6.2087674956e-11 1.3203725272e-13
  14 1.1553887969e-10 1.0718366692e-15 1.4961019221e-13 0.0000000000e+00 6.0841298192e-10 5.5742873509e-11 9.7714418814e-14
  15 1.1654206126e-10 9.3127264203e-16 1.5346760251e-13 0.0000000000e+00 5.4331404989e-10 5.0208982932e-11 5.4724479911e-14
  16 1.1774893131e-10 8.4319171526e-16 1.6226308863e-13 0.0000000000e+00 4.8846417936e-10 4.5518763784e-11 1.1430798704e-14
  17 1.1907953934e-10 8.3901046537e-16 1.7275757372e-13 0.0000000000e+00 4.4114499089e-10 4.1507774554e-11 -2.4305489356e-14
  18 1.2053602134e-10 8.9617026398e-16 1.8338588542e-13 0.0000000000e+00 4.0039760383e-10 3.8073899327e-11 -4.9233838670e-14
  19 1.2208478707e-10 9.6626567764e-16 1.9301813057e-13 0.0000000000e+00 3.6479068649e-10 3.5037499696e-11 -6.2505996116e-14
  20 1.2372519636e-10 1.0300370619e-15 2.0122350195e-13 0.0000000000e+00 3.3373053306e-10 3.2325670002e-11 -6.4827384332e-14
  21 1.2542789335e-10 1.0811031112e-15 2.0788665128e-13 0.0000000000e+00 3.0629427139e-10 2.9857006455e-11 -5.8421189835e-14
  22 1.2719562766e-10 1.1382642677e-15 2.1330858456e-13 0.0000000000e+00 2.8201752993e-10 2.7633801496e-11 -4.6364331969e-14
  23 1.2901720588e-10 1.2289022434e-15 2.1800544418e-13 0.0000000000e+00 2.6026923797e-10 2.5656428123e-11 -3.2460584081e-14
  24 1.3090532877e-10 1.3606537598e-15 2.2240269227e-13 0.0000000000e+00 2.4093478101e-10 2.3914372853e-11 -1.8809412119e-14
  25 1.3285190769e-10 1.5336839794e-15 2.2697731122e-13 0.0000000000e+00 2.2373877539e-10 2.2358691421e-11 -7.3045501138e-15
  26 1.3482425928e-10 1.7462081277e-15 2.3220257012e-13 0.0000000000e+00 2.0812762476e-10 2.0914867452e-11 1.6170018877e-16
  27 1.3682926133e-10 1.9952266621e-15 2.3811318875e-13 0.0000000000e+00 1.9398986191e-10 1.9580270427e-11 3.3842652502e-15
  28 1.3887051983e-10 2.2757126103e-15 2.4454055816e-13 0.0000000000e+00 1.8118859519e-10 1.8363844937e-11 2.9247126049e-15
  29 1.4093833259e-10 2.5817063312e-15 2.5121520411e-13 0.0000000000e+00 1.6945862007e-10 1.7263246004e-11 -3.4830592994e-16
  30 1.4304197906e-10 2.9116791074e-15 2.5778953118e-13 0.0000000000e+00 1.5877482062e-10 1.6276533817e-11 -5.5498045753e-15
  31 1.4518662619e-10 3.2651796829e-15 2.6380613999e-13 0.0000000000e+00 1.4910273854e-10 1.5392502410e-11 -1.1551641907e-14
  32 1.4736268021e-10 3.6414396886e-15 2.6867837531e-13 0.0000000000e+00 1.4028798083e-10 1.4585809703e-11 -1.6872007486e-14
  33 1.4955310132e-10 4.0399144106e-15 2.7180448208e-13 0.0000000000e+00 1.3211663561e-10 1.3825541146e-11 -2.0037440284e-14
  34 1.5176370578e-10 4.4622253093e-15 2.7299248338e-13 0.0000000000e+00 1.2455912127e-10 1.3108802368e-11 -2.0916711016e-14
  35 1.5400177127e-10 4.9109501061e-15 2.7218626864e-13 0.0000000000e+00 1.1760150771e-10 1.2438023490e-11 -1.9869056432e-14
  36 1.5626691106e-10 5.3891610074e-15 2.6935751905e-13 0.0000000000e+00 1.1117473883e-10 1.1811621822e-11 -1.7411112853e-14
  37 1.5855445219e-10 5.8999375434e-15 2.6452584023e-13 0.0000000000e+00 1.0518357743e-10 1.1225677684e-11 -1.4139878952e-14
  38 1.6086933420e-10 6.4446044635e-15 2.5782182519e-13 0.0000000000e+00 9.9619358735e-11 1.0680736698e-11 -1.0437318461e-14
  39 1.6321562623e-10 7.0239243687e-15 2.4945062436e-13 0.0000000000e+00 9.4478513623e-11 1.0176731274e-11 -6.6810219347e-15
