# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.5051603492e-10 7.4055705077e-15 4.9343164196e-13 2.3328365643e-19 8.9377536319e-09 4.8221250767e-10 -2.5510294630e-12
   3 1.4277852409e-10 1.2560105219e-14 6.2216579651e-13 4.6678975211e-19 5.4625465523e-09 3.4325509983e-10 -2.2465847628e-12
   4 1.3393070936e-10 1.4679163443e-14 6.4187298474e-13 7.7846964288e-19 3.7890697768e-09 2.6121932186e-10 -1.7889975880e-12
   5 1.2712256566e-10 1.3604587902e-14 6.0058210780e-13 1.1685990849e-18 2.8211479050e-09 2.0703839314e-10 -1.3290462737e-12
   6 1.2216168498e-10 1.0528037629e-14 5.2824850062e-13 1.6375055238e-18 2.1984178482e-09 1.6892348021e-10 -9.1496654519e-13
   7 1.1864075900e-10 7.0024103054e-15 4.4592092541e-13 2.1855575895e-18 1.7679137844e-09 1.4076724226e-10 -5.5533344819e-13
   8 1.1629937346e-10 4.1474186732e-15 3.6541851950e-13 2.8131534329e-18 1.4583287793e-09 1.1926314750e-10 -2.7579436502e-13
   9 1.1486413994e-10 2.3972070142e-15 2.9449193366e-13 3.5207083549e-18 1.2253960342e-09 1.0238018192e-10 -7.3752287845e-14
  10 1.1414237364e-10 1.6031427536e-15 2.3679354969e-13 4.3086422033e-18 1.0453716447e-09 8.8945816402e-11 5.6738125698e-14
  11 1.1395189464e-10 1.3664363836e-15 1.9460652248e-13 5.1773670212e-18 8.9132152616e-10 7.8529068173e-11 1.2436915789e-13
  12 1.1417294685e-10 1.3080442785e-15 1.6715235311e-13 6.1272754170e-18 7.7826632942e-10 6.9493837390e-11 1.4520742832e-13
  13 1.1473426453e-10 1.2237129930e-15 1.5312047912e-13 7.1587300938e-18 6.8552320275e-10 6.2087674956e-11 1.3203725272e-13
  14 1.1555461704e-10 1.0801100296e-15 1.4960358299e-13 8.2720549300e-18 6.0841298192e-10 5.5742873509e-11 9.7714418814e-14
  15 1.1655989093e-10 9.4074194991e-16 1.5345916925e-13 9.4675274062e-18 5.4331404989e-10 5.0208982932e-11 5.4724479911e-14
  16 1.1776895860e-10 8.5393943166e-16 1.6225251843e-13 1.0745376331e-17 4.8846417936e-10 4.5518763784e-11 1.1430798704e-14
  17 1.1910186577e-10 8.5111920649e-16 1.7274453239e-13 1.2105773294e-17 4.4114499089e-10 4.1507774554e-11 -2.4305489356e-14
  18 1.2056074498e-10 9.0972273448e-16 1.8337001872e-13 1.3548840788e-17 4.0039760383e-10 3.8073899327e-11 -4.9233838670e-14
  19 1.2211200296e-10 9.8134459469e-16 1.9299906593e-13 1.5074644099e-17 3.6479068649e-10 3.5037499696e-11 -6.2505996116e-14
  20 1.2375499685e-10 1.0467250893e-15 2.0120084938e-13 1.6683208731e-17 3.3373053306e-10 3.2325670002e-11 -6.4827384332e-14
  21 1.2546036845e-10 1.0994827826e-15 2.0786000481e-13 1.8374510737e-17 3.0629427139e-10 2.9857006455e-11 -5.8421189835e-14
  22 1.2723086538e-10 1.1584179238e-15 2.1327752276e-13 2.0148497887e-17 2.8201752993e-10 2.7633801496e-11 -4.6364331969e-14
  23 1.2905529253e-10 1.2509119635e-15 2.1796953108e-13 2.2005085038e-17 2.6026923797e-10 2.5656428123e-11 -3.2460584081e-14
  24 1.3094634907e-10 1.3846013284e-15 2.2236147691e-13 2.3944196647e-17 2.4093478101e-10 2.3914372853e-11 -1.8809412119e-14
  25 1.3289594501e-10 1.5596508253e-15 2.2693032817e-13 2.5965739483e-17 2.2373877539e-10 2.2358691421e-11 -7.3045501138e-15
  26 1.3487139591e-10 1.7742752661e-15 2.3214934002e-13 2.8069607695e-17 2.0812762476e-10 2.0914867452e-11 1.6170018877e-16
  27 1.3687957829e-10 2.0254746938e-15 2.3805321735e-13 3.0255744659e-17 1.9398986191e-10 1.9580270427e-11 3.3842652502e-15
  28 1.3892409696e-10 2.3082216868e-15 2.4447333619e-13 3.2524111274e-17 1.8118859519e-10 1.8363844937e-11 2.9247126049e-15
  29 1.4099524861e-10 2.6165561208e-15 2.5114020763e-13 3.4874686726e-17 1.6945862007e-10 1.7263246004e-11 -3.4830592994e-16
  30 1.4310231117e-10 2.9489488182e-15 2.5770622241e-13 3.7307515917e-17 1.5877482062e-10 1.6276533817e-11 -5.5498045753e-15
  31 1.4525044999e-10 3.3049480529e-15 2.6371396787e-13 3.9822687556e-17 1.4910273854e-10 1.5392502410e-11 -1.1551641907e-14
  32 1.4743006963e-10 3.6837849646e-15 2.6857677583e-13 4.2420327824e-17 1.4028798083e-10 1.4585809703e-11 -1.6872007486e-14
  33 1.4962412851e-10 4.0849143349e-15 2.7169287975e-13 4.5100604300e-17 1.3211663561e-10 1.3825541146e-11 -2.0037440284e-14
  34 1.5183844070e-10 4.5099571311e-15 2.7287029620e-13 4.7863728243e-17 1.2455912127e-10 1.3108802368e-11 -2.0916711016e-14
  35 1.5408028149e-10 4.9614905811e-15 2.7205291090e-13 5.0709960558e-17 1.1760150771e-10 1.2438023490e-11 -1.9869056432e-14
  36 1.5634926147e-10 5.4425863936e-15 2.6921240338e-13 5.3639616883e-17 1.1117473883e-10 1.1811621822e-11 -1.7411112853e-14
  37 1.5864070493e-10 5.9563235807e-15 2.6436838172e-13 5.6653045091e-17 1.0518357743e-10 1.1225677684e-11 -1.4139878952e-14
  38 1.6095954862e-10 6.5040262897e-15 2.5765145249e-13 5.9750537110e-17 9.9619358735e-11 1.0680736698e-11 -1.0437318461e-14
  39 1.6330985882e-10 7.0864564799e-15 2.4926678653e-13 6.2932392968e-17 9.4478513623e-11 1.0176731274e-11 -6.6810219347e-15
  40 1.6569037766e-10 7.7042759039e-15 2.3948229079e-13 6.6198947201e-17 8.9729122541e-11 9.7108400728e-12 -3.3297264803e-15
  41 1.6809394541e-10 8.3580383553e-15 2.2863259852e-13 6.9550571052e-17 8.5308346334e-11 9.2772361602e-12 -9.2838703873e-16
  42 1.7051148704e-10 9.0483028541e-15 2.1702020875e-13 7.2987623281e-17 8.1143421675e-11 8.8690645173e-12 3.8936341022e-17
  43 1.7294686593e-10 9.7760347772e-15 2.0457174351e-13 7.6510278589e-17 7.7228762716e-11 8.4857275288e-12 -3.4146590190e-16
  44 1.7540579283e-10 1.0542319536e-14 1.9107884740e-13 8.0118648215e-17 7.3569112406e-11 8.1274979772e-12 -1.7685697822e-15
  45 1.7789140676e-10 1.1348253038e-14 1.7628874074e-13 8.3812825401e-17 7.0157140407e-11 7.7933908907e-12 -3.8597730406e-15
  46 1.8040400063e-10 1.2194941973e-14 1.5990137575e-13 8.7592884175e-17 6.6972439677e-11 7.4810598294e-12 -6.1458545307e-15
  47 1.8294074681e-10 1.3083504092e-14 1.4156659276e-13 9.1458878145e-17 6.3980523037e-11 7.1866931722e-12 -8.0659336051e-15
  48 1.8549782677e-10 1.4014739140e-14 1.2097324272e-13 9.5410811655e-17 6.1143669148e-11 6.9061841892e-12 -9.1023731090e-15
  49 1.8807817015e-10 1.4988031280e-14 9.8152897654e-14 9.9448546496e-17 5.8459417082e-11 6.6392732834e-12 -9.2422174565e-15
  50 1.9068542579e-10 1.6002137764e-14 7.3256866510e-14 1.0357186681e-16 5.5931198901e-11 6.3863952047e-12 -8.6371679579e-15
  51 1.9332160014e-10 1.7055475158e-14 4.6473506420e-14 1.0778050188e-16 5.3557048615e-11 6.1474694389e-12 -7.4770435475e-15
  52 1.9598690549e-10 1.8146102827e-14 1.8030071069e-14 1.1207412349e-16 5.1329203320e-11 5.9218614829e-12 -5.9918801506e-15
  53 1.9867960824e-10 1.9271706410e-14 -1.1805440960e-14 1.1645234331e-16 4.9233704333e-11 5.7083441204e-12 -4.4540300493e-15
  54 2.0139587716e-10 2.0429581304e-14 -4.2722437830e-14 1.2091471028e-16 4.7249998326e-11 5.5050586976e-12 -3.1802612497e-15
  55 2.0413164027e-10 2.1617410199e-14 -7.4453549185e-14 1.2546076951e-16 4.5356865224e-11 5.3100816660e-12 -2.4587092785e-15
  56 2.0688904361e-10 2.2835859740e-14 -1.0706126904e-13 1.3009026210e-16 4.3552840133e-11 5.1233777381e-12 -2.3036727301e-15
  57 2.0967133115e-10 2.4086599995e-14 -1.4071928360e-13 1.3480297034e-16 4.1840166009e-11 4.9452641086e-12 -2.6435808750e-15
  58 2.1248090483e-10 2.5371581015e-14 -1.7563258001e-13 1.3959866037e-16 4.0218762343e-11 4.7758328850e-12 -3.3899938815e-15
  59 2.1531925105e-10 2.6693047255e-14 -2.1203901343e-13 1.4447708190e-16 3.8686072790e-11 4.6149359448e-12 -4.4367743552e-15
  60 2.1818686719e-10 2.8053551988e-14 -2.5021087415e-13 1.4943796806e-16 3.7236912802e-11 4.4621697933e-12 -5.6592588776e-15
  61 2.2108318813e-10 2.9455971724e-14 -2.9045645465e-13 1.5448103509e-16 3.5863317260e-11 4.3168604205e-12 -6.9134295458e-15
  62 2.2400651271e-10 3.0903520623e-14 -3.3312161673e-13 1.5960598218e-16 3.4554388112e-11 4.1780481592e-12 -8.0350855111e-15
  63 2.2695502875e-10 3.2398780795e-14 -3.7850223753e-13 1.6481256795e-16 3.3299269830e-11 4.0447668978e-12 -8.8756659338e-15
  64 2.2993031364e-10 3.3940514411e-14 -4.2655577951e-13 1.7010086000e-16 3.2097174920e-11 3.9169867637e-12 -9.4206840635e-15
  65 2.3293446861e-10 3.5526179918e-14 -4.7712941779e-13 1.7547103956e-16 3.0949280087e-11 3.7948506793e-12 -9.6957249181e-15
  66 2.3596904756e-10 3.7152840273e-14 -5.3004255004e-13 1.8092333154e-16 2.9855733072e-11 3.6783918753e-12 -9.7323287562e-15
  67 2.3903501629e-10 3.8817148067e-14 -5.8508571114e-13 1.8645800662e-16 2.8815593368e-11 3.5675275089e-12 -9.5682534326e-15
  68 2.4213271168e-10 4.0515330657e-14 -6.4201948789e-13 1.9207538331e-16 2.7826772949e-11 3.4620522816e-12 -9.2477367531e-15
  69 2.4526180094e-10 4.2243175293e-14 -7.0057343366e-13 1.9777582999e-16 2.6885976988e-11 3.3616320572e-12 -8.8217588295e-15
  70 2.4842124074e-10 4.3996014242e-14 -7.6044498308e-13 2.0355976698e-16 2.5988644585e-11 3.2657974801e-12 -8.3483044349e-15
  71 2.5160923647e-10 4.5768709920e-14 -8.2129836676e-13 2.0942766859e-16 2.5128889485e-11 3.1739375931e-12 -7.8926253586e-15
  72 2.5482406103e-10 4.7556668831e-14 -8.8283764895e-13 2.1537999012e-16 2.4301017255e-11 3.0854569902e-12 -7.5142769661e-15
  73 2.5806678386e-10 4.9359141757e-14 -9.4504448321e-13 2.2141692785e-16 2.3504545667e-11 3.0002963798e-12 -7.2247641048e-15
  74 2.6133899451e-10 5.1176533111e-14 -1.0079842451e-12 2.2753861651e-16 2.2740045338e-11 2.9185008755e-12 -7.0222015966e-15
  75 2.6464196854e-10 5.3009436726e-14 -1.0717365494e-12 2.3374520059e-16 2.2007625782e-11 2.8400627121e-12 -6.9037807614e-15
  76 2.6797664642e-10 5.4858644469e-14 -1.1363958573e-12 2.4003683468e-16 2.1306912122e-11 2.7649185964e-12 -6.8657298124e-15
  77 2.7134361232e-10 5.6725154858e-14 -1.2020720830e-12 2.4641368384e-16 2.0637021804e-11 2.6929470601e-12 -6.9032742533e-15
  78 2.7474307293e-10 5.8610181677e-14 -1.2688912011e-12 2.5287592393e-16 1.9996541316e-11 2.6239658103e-12 -7.0105972736e-15
  79 2.7817483632e-10 6.0515162598e-14 -1.3369958534e-12 2.5942374198e-16 1.9383502901e-11 2.5577290822e-12 -7.1808001458e-15
  80 2.8163829072e-10 6.2441767791e-14 -1.4065459558e-12 2.6605733649e-16 1.8795361271e-11 2.4939249901e-12 -7.4058626208e-15
  81 2.8513238341e-10 6.4391908546e-14 -1.4777193056e-12 2.7277691781e-16 1.8228970324e-11 2.4321728796e-12 -7.6766033249e-15
  82 2.8865610976e-10 6.6367010710e-14 -1.5506652882e-12 2.7958268240e-16 1.7681369841e-11 2.3721193567e-12 -7.9834954031e-15
  83 2.9221012239e-10 6.8365674332e-14 -1.6253556331e-12 2.8647472985e-16 1.7152350184e-11 2.3137509268e-12 -8.3193595366e-15
  84 2.9579535757e-10 7.0385630938e-14 -1.7017093344e-12 2.9345313236e-16 1.6642282078e-11 2.2571297913e-12 -8.6770574170e-15
  85 2.9941253714e-10 7.2424439141e-14 -1.7796370837e-12 3.0051795942e-16 1.6151336423e-11 2.2022989877e-12 -9.0486529400e-15
  86 3.0306215640e-10 7.4479480301e-14 -1.8590410507e-12 3.0766927774e-16 1.5679475289e-11 2.1492814814e-12 -9.4253876806e-15
  87 3.0674447187e-10 7.6547954179e-14 -1.9398146632e-12 3.1490715111e-16 1.5226442914e-11 2.0980792569e-12 -9.7976563689e-15
  88 3.1045948919e-10 7.8626874586e-14 -2.0218423867e-12 3.2223164026e-16 1.4791756701e-11 2.0486724097e-12 -1.0154982366e-14
  89 3.1420695087e-10 8.0713065044e-14 -2.1049995053e-12 3.2964280281e-16 1.4374698210e-11 2.0010182375e-12 -1.0485993137e-14
  90 3.1798632416e-10 8.2803154437e-14 -2.1891519009e-12 3.3714069310e-16 1.3974304161e-11 1.9550503321e-12 -1.0778395733e-14
  91 3.2179678886e-10 8.4893572665e-14 -2.2741558338e-12 3.4472536209e-16 1.3589357424e-11 1.9106776704e-12 -1.1018952257e-14
  92 3.2563722514e-10 8.6980546299e-14 -2.3598577228e-12 3.5239685725e-16 1.3218378020e-11 1.8677837068e-12 -1.1193455350e-14
  93 3.2950620136e-10 8.9060094237e-14 -2.4460939248e-12 3.6015522245e-16 1.2859614113e-11 1.8262254636e-12 -1.1286703656e-14
  94 3.3340238583e-10 9.1128495926e-14 -2.5327116353e-12 3.6800059939e-16 1.2511453243e-11 1.7858693443e-12 -1.1286299481e-14
  95 3.3732587849e-10 9.3183785153e-14 -2.6196356218e-12 3.7593354942e-16 1.2173745547e-11 1.7467066368e-12 -1.1194741361e-14
  96 3.4127705585e-10 9.5224471625e-14 -2.7068110640e-12 3.8395477962e-16 1.1846661773e-11 1.7087536033e-12 -1.1019094653e-14
  97 3.4525615838e-10 9.7249090195e-14 -2.7941833818e-12 3.9206504680e-16 1.1530287295e-11 1.6720158825e-12 -1.0767356284e-14
  98 3.4926328396e-10 9.9256202861e-14 -2.8816982998e-12 4.0026515870e-16 1.1224618752e-11 1.6364880746e-12 -1.0448481578e-14
  99 3.5329838147e-10 1.0124440078e-13 -2.9693019110e-12 4.0855597526e-16 1.0929560692e-11 1.6021533262e-12 -1.0072411101e-14
 100 3.5736124427e-10 1.0321230627e-13 -3.0569407404e-12 4.1693840988e-16 1.0644922218e-11 1.5689829152e-12 -9.6500974965e-15
 101 3.6145150375e-10 1.0515857480e-13 -3.1445618091e-12 4.2541343066e-16 1.0370413630e-11 1.5369358360e-12 -9.1935323205e-15
 102 3.6556862282e-10 1.0708189702e-13 -3.2321126983e-12 4.3398206163e-16 1.0105643066e-11 1.5059583846e-12 -8.7157728815e-15
 103 3.6971188944e-10 1.0898100076e-13 -3.3195416128e-12 4.4264538406e-16 9.8501131500e-12 1.4759837429e-12 -8.2309690767e-15
 104 3.7388041014e-10 1.1085465300e-13 -3.4067974454e-12 4.5140453763e-16 9.6032176309e-12 1.4469315646e-12 -7.7543902295e-15
 105 3.7807310356e-10 1.1270166193e-13 -3.4938298401e-12 4.6026072173e-16 9.3642380286e-12 1.4187075595e-12 -7.3024519272e-15
