# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3300, i.e. number of multipoles equal to 3299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.4752699412e-10 7.4123495466e-15 4.7417902702e-13 0.0000000000e+00 8.5333643133e-09 4.8903081222e-10 -2.4899434740e-12
   3 1.3956182265e-10 1.2604139546e-14 6.0314605350e-13 0.0000000000e+00 5.2496666333e-09 3.4768466713e-10 -2.2003508787e-12
   4 1.3069859013e-10 1.4747038344e-14 6.2515093949e-13 0.0000000000e+00 3.6491207073e-09 2.6426296895e-10 -1.7552448762e-12
   5 1.2390751802e-10 1.3671091197e-14 5.8658721396e-13 0.0000000000e+00 2.7182316590e-09 2.0930485534e-10 -1.3050265310e-12
   6 1.1897509903e-10 1.0574776079e-14 5.1681184619e-13 0.0000000000e+00 2.1178792717e-09 1.7069544281e-10 -8.9860677519e-13
   7 1.1548874046e-10 7.0251294695e-15 4.3669619026e-13 0.0000000000e+00 1.7028922733e-09 1.4221591244e-10 -5.4422605514e-13
   8 1.1317934606e-10 4.1529416248e-15 3.5780703024e-13 0.0000000000e+00 1.4059067928e-09 1.2048702808e-10 -2.6900491494e-13
   9 1.1177611474e-10 2.3957903254e-15 2.8809618578e-13 0.0000000000e+00 1.1827400022e-09 1.0345278266e-10 -6.9971790824e-14
  10 1.1108229131e-10 1.6019257192e-15 2.3111836560e-13 0.0000000000e+00 1.0100310465e-09 8.9873308196e-11 5.8201222123e-14
  11 1.1091997227e-10 1.3673749208e-15 1.8941357831e-13 0.0000000000e+00 8.6237919259e-10 7.9321954804e-11 1.2465116056e-13
  12 1.1116661940e-10 1.3093411612e-15 1.6238907141e-13 0.0000000000e+00 7.5329390125e-10 7.0188098687e-11 1.4472653112e-13
  13 1.1175163507e-10 1.2228897494e-15 1.4857334350e-13 0.0000000000e+00 6.6376296841e-10 6.2699650722e-11 1.3134043659e-13
  14 1.1259367892e-10 1.0761271939e-15 1.4527146154e-13 0.0000000000e+00 5.8928972062e-10 5.6290666748e-11 9.7164272941e-14
  15 1.1362109671e-10 9.3412450977e-16 1.4908013777e-13 0.0000000000e+00 5.2638298972e-10 5.0708271799e-11 5.4258996514e-14
  16 1.1485087924e-10 8.4543798360e-16 1.5768835958e-13 0.0000000000e+00 4.7337410866e-10 4.5978121232e-11 1.0928652231e-14
  17 1.1620287032e-10 8.4107991237e-16 1.6817722062e-13 0.0000000000e+00 4.2762309376e-10 4.1926495683e-11 -2.4847454228e-14
  18 1.1767942492e-10 8.9765134869e-16 1.7880581629e-13 0.0000000000e+00 3.8820785121e-10 3.8453726591e-11 -4.9532922354e-14
  19 1.1924908648e-10 9.6567658846e-16 1.8810987307e-13 0.0000000000e+00 3.5375606023e-10 3.5385750341e-11 -6.2050878337e-14
  20 1.2091050210e-10 1.0254570244e-15 1.9573785590e-13 0.0000000000e+00 3.2369642454e-10 3.2647886376e-11 -6.3742221519e-14
  21 1.2263381421e-10 1.0706330512e-15 2.0180893257e-13 0.0000000000e+00 2.9713641394e-10 3.0153978082e-11 -5.7647590155e-14
  22 1.2442159023e-10 1.1211331641e-15 2.0669162510e-13 0.0000000000e+00 2.7362846885e-10 2.7905907135e-11 -4.6320453589e-14
  23 1.2626327237e-10 1.2058410923e-15 2.1092018268e-13 0.0000000000e+00 2.5256421661e-10 2.5904944728e-11 -3.2623470347e-14
  24 1.2817108079e-10 1.3326619748e-15 2.1495255864e-13 0.0000000000e+00 2.3383380166e-10 2.4141484397e-11 -1.8654685609e-14
  25 1.3013690102e-10 1.5015467209e-15 2.1930684546e-13 0.0000000000e+00 2.1717135408e-10 2.2567407764e-11 -6.6964627991e-15
  26 1.3212875641e-10 1.7103270189e-15 2.2448464100e-13 0.0000000000e+00 2.0204169486e-10 2.1108681144e-11 9.4418329433e-16
  27 1.3415327292e-10 1.9554086230e-15 2.3046760227e-13 0.0000000000e+00 1.8833742043e-10 1.9762041484e-11 4.0795052051e-15
  28 1.3621399864e-10 2.2309510914e-15 2.3698830814e-13 0.0000000000e+00 1.7592640436e-10 1.8535032101e-11 3.4620258326e-15
