# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.4752746042e-10 7.4125753095e-15 4.7417902202e-13 2.2576280400e-19 8.5333643133e-09 4.8903081222e-10 -2.4899434740e-12
   3 1.3956275317e-10 1.2604591285e-14 6.0314603124e-13 4.5173903014e-19 5.2496666333e-09 3.4768466713e-10 -2.2003508787e-12
   4 1.3070013643e-10 1.4747791711e-14 6.2515087569e-13 7.5336543846e-19 3.6491207073e-09 2.6426296895e-10 -1.7552448762e-12
   5 1.2390982903e-10 1.3672222110e-14 5.8658706909e-13 1.1309067772e-18 2.7182316590e-09 2.0930485534e-10 -1.3050265310e-12
   6 1.1897832053e-10 1.0576360774e-14 5.1681156237e-13 1.5846775681e-18 2.1178792717e-09 1.7069544281e-10 -8.9860677519e-13
   7 1.1549301457e-10 7.0272445420e-15 4.3669568876e-13 2.1150321060e-18 1.7028922733e-09 1.4221591244e-10 -5.4422605514e-13
   8 1.1318481091e-10 4.1556640616e-15 3.5780620936e-13 2.7223533490e-18 1.4059067928e-09 1.2048702808e-10 -2.6900491494e-13
   9 1.1178290414e-10 2.3991975234e-15 2.8809491928e-13 3.4070411286e-18 1.1827400022e-09 1.0345278266e-10 -6.9971790824e-14
  10 1.1109053455e-10 1.6060954931e-15 2.3111650176e-13 4.1695001285e-18 1.0100310465e-09 8.9873308196e-11 5.8201222123e-14
  11 1.1092979405e-10 1.3723854976e-15 1.8941093945e-13 5.0101280917e-18 8.6237919259e-10 7.9321954804e-11 1.2465116056e-13
  12 1.1117813973e-10 1.3152711636e-15 1.6238545390e-13 5.9293047008e-18 7.5329390125e-10 7.0188098687e-11 1.4472653112e-13
  13 1.1176496941e-10 1.2298181663e-15 1.4856851827e-13 6.9273815496e-18 6.6376296841e-10 6.2699650722e-11 1.3134043659e-13
  14 1.1260893828e-10 1.0841333415e-15 1.4526517488e-13 8.0046735756e-18 5.8928972062e-10 5.6290666748e-11 9.7164272941e-14
  15 1.1363838788e-10 9.4328798206e-16 1.4907211254e-13 9.1614517680e-18 5.2638298972e-10 5.0708271799e-11 5.4258996514e-14
  16 1.1487030502e-10 8.5583859710e-16 1.5767829641e-13 1.0397940874e-17 4.7337410866e-10 4.5978121232e-11 1.0928652231e-14
