# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3300, i.e. number of multipoles equal to 3299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.5001882508e-10 7.5041830702e-15 4.8500540507e-13 0.0000000000e+00 8.6644033472e-09 4.9138428335e-10 -2.5355484651e-12
   3 1.4190281188e-10 1.2731832580e-14 6.1498357094e-13 0.0000000000e+00 5.3286799102e-09 3.4931292691e-10 -2.2357014239e-12
   4 1.3285616822e-10 1.4872920675e-14 6.3613243008e-13 0.0000000000e+00 3.7005665653e-09 2.6541248764e-10 -1.7809580321e-12
   5 1.2591897271e-10 1.3769748599e-14 5.9603133531e-13 0.0000000000e+00 2.7541426395e-09 2.1014527021e-10 -1.3226053363e-12
   6 1.2087180234e-10 1.0638945184e-14 5.2455820522e-13 0.0000000000e+00 2.1446574055e-09 1.7132855596e-10 -9.0968917295e-13
   7 1.1729372302e-10 7.0610384681e-15 4.4285518976e-13 0.0000000000e+00 1.7240479759e-09 1.4270649950e-10 -5.5043606452e-13
   8 1.1491126586e-10 4.1716585751e-15 3.6266018594e-13 0.0000000000e+00 1.4230422665e-09 1.2087282102e-10 -2.7170051268e-13
   9 1.1344901057e-10 2.4067816080e-15 2.9193207488e-13 0.0000000000e+00 1.1968586207e-09 1.0376178805e-10 -7.0357837191e-14
  10 1.1270641274e-10 1.6103722563e-15 2.3424348447e-13 0.0000000000e+00 1.0217902167e-09 9.0122015474e-11 5.9032612712e-14
  11 1.1250283153e-10 1.3748303781e-15 1.9204328050e-13 0.0000000000e+00 8.7210521911e-10 7.9538637227e-11 1.2585574004e-13
  12 1.1271431064e-10 1.3156599423e-15 1.6471052035e-13 0.0000000000e+00 7.6160456802e-10 7.0366997265e-11 1.4580001132e-13
  13 1.1326913612e-10 1.2277270105e-15 1.5083134596e-13 0.0000000000e+00 6.7093622024e-10 6.2850142988e-11 1.3210296949e-13
  14 1.1408521520e-10 1.0797517637e-15 1.4748372024e-13 0.0000000000e+00 5.9553552048e-10 5.6419496143e-11 9.7623164903e-14
  15 1.1508902611e-10 9.3728071986e-16 1.5138541404e-13 0.0000000000e+00 5.3186062980e-10 5.0816748222e-11 5.4460472721e-14
  16 1.1629799503e-10 8.4877918100e-16 1.6012896551e-13 0.0000000000e+00 4.7821503321e-10 4.6069138657e-11 1.0924540243e-14
  17 1.1763118538e-10 8.4491862436e-16 1.7058366218e-13 0.0000000000e+00 4.3192394712e-10 4.2005205842e-11 -2.5006195553e-14
  18 1.1909091889e-10 9.0218862884e-16 1.8113738208e-13 0.0000000000e+00 3.9205144541e-10 3.8523717068e-11 -4.9791921833e-14
  19 1.2064490583e-10 9.7107081373e-16 1.9055878612e-13 0.0000000000e+00 3.5720598975e-10 3.5447349681e-11 -6.2353865236e-14
  20 1.2229185498e-10 1.0318734786e-15 1.9840153234e-13 0.0000000000e+00 3.2680796149e-10 3.2701257960e-11 -6.4028913259e-14
  21 1.2400161173e-10 1.0782913602e-15 2.0458424690e-13 0.0000000000e+00 2.9995323708e-10 3.0200092487e-11 -5.7861394614e-14
  22 1.2577677549e-10 1.1304540143e-15 2.0950151046e-13 0.0000000000e+00 2.7618812711e-10 2.7946032082e-11 -4.6438873302e-14
  23 1.2760653168e-10 1.2174553900e-15 2.1378775041e-13 0.0000000000e+00 2.5489641594e-10 2.5940366906e-11 -3.2669126859e-14
  24 1.2950332036e-10 1.3470693377e-15 2.1791480614e-13 0.0000000000e+00 2.3596640920e-10 2.4173298267e-11 -1.8660396784e-14
