# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
   2 1.5001929452e-10 7.5044092449e-15 4.8500539998e-13 2.2617466670e-19 8.6644033472e-09 4.9138428335e-10 -2.5355484651e-12
   3 1.4190374867e-10 1.2732285147e-14 6.1498354832e-13 4.5256650352e-19 5.3286799102e-09 3.4931292691e-10 -2.2357014239e-12
   4 1.3285772491e-10 1.4873675429e-14 6.3613236526e-13 7.5475272414e-19 3.7005665653e-09 2.6541248764e-10 -1.7809580321e-12
   5 1.2592129919e-10 1.3770881608e-14 5.9603118810e-13 1.1330026205e-18 2.7541426395e-09 2.1014527021e-10 -1.3226053363e-12
   6 1.2087504532e-10 1.0640532837e-14 5.2455791685e-13 1.5876360202e-18 2.1446574055e-09 1.7132855596e-10 -9.0968917295e-13
   7 1.1729802552e-10 7.0631575210e-15 4.4285468019e-13 2.1190130605e-18 1.7240479759e-09 1.4270649950e-10 -5.5043606452e-13
   8 1.1491676683e-10 4.1743861802e-15 3.6265935180e-13 2.7275228310e-18 1.4230422665e-09 1.2087282102e-10 -2.7170051268e-13
   9 1.1345584461e-10 2.4101953339e-15 2.9193078788e-13 3.4135713232e-18 1.1968586207e-09 1.0376178805e-10 -7.0357837191e-14
  10 1.1271470989e-10 1.6145500951e-15 2.3424159040e-13 4.1775691501e-18 1.0217902167e-09 9.0122015474e-11 5.9032612712e-14
  11 1.1251271713e-10 1.3798507394e-15 1.9204059874e-13 5.0199195023e-18 8.7210521911e-10 7.9538637227e-11 1.2585574004e-13
  12 1.1272590536e-10 1.3216016355e-15 1.6470684390e-13 5.9410068002e-18 7.6160456802e-10 7.0366997265e-11 1.4580001132e-13
  13 1.1328255599e-10 1.2346692147e-15 1.5082644192e-13 6.9411864681e-18 6.7093622024e-10 6.2850142988e-11 1.3210296949e-13
  14 1.1410057175e-10 1.0877739874e-15 1.4747733067e-13 8.0207762092e-18 5.9553552048e-10 5.6419496143e-11 9.7623164903e-14
  15 1.1510642660e-10 9.4646275019e-16 1.5137725713e-13 9.1800485885e-18 5.3186062980e-10 5.0816748222e-11 5.4460472721e-14
  16 1.1631754272e-10 8.5920102702e-16 1.6011873686e-13 1.0419228750e-17 4.7821503321e-10 4.6069138657e-11 1.0924540243e-14
  17 1.1765297981e-10 8.5666045033e-16 1.7057103645e-13 1.1738486066e-17 4.3192394712e-10 4.2005205842e-11 -2.5006195553e-14
  18 1.1911505625e-10 9.1533068853e-16 1.8112201429e-13 1.3137941949e-17 3.9205144541e-10 3.8523717068e-11 -4.9791921833e-14
  19 1.2067147928e-10 9.8569337547e-16 1.9054031339e-13 1.4617661925e-17 3.5720598975e-10 3.5447349681e-11 -6.2353865236e-14
  20 1.2232095500e-10 1.0480567599e-15 1.9837957488e-13 1.6177672509e-17 3.2680796149e-10 3.2701257960e-11 -6.4028913259e-14
  21 1.2403332648e-10 1.0961154514e-15 2.0455840952e-13 1.7817951763e-17 2.9995323708e-10 3.0200092487e-11 -5.7861394614e-14
  22 1.2581119109e-10 1.1499988164e-15 2.0947138330e-13 1.9538449831e-17 2.7618812711e-10 2.7946032082e-11 -4.6438873302e-14
  23 1.2764373254e-10 1.2388005455e-15 2.1375290993e-13 2.1339084410e-17 2.5489641594e-10 2.5940366906e-11 -3.2669126859e-14
  24 1.2954338925e-10 1.3702941973e-15 2.1787481492e-13 2.3219782150e-17 2.3596640920e-10 2.4173298267e-11 -1.8660396784e-14
  25 1.3150196634e-10 1.5441174236e-15 2.2233699381e-13 2.5180452022e-17 2.1912877493e-10 2.2596289891e-11 -6.6923917535e-15
  26 1.3348700849e-10 1.7577727124e-15 2.2761934943e-13 2.7220990248e-17 2.0384188530e-10 2.1134804146e-11 9.3324259667e-16
  27 1.3550524410e-10 2.0076775893e-15 2.3369636510e-13 2.9341340674e-17 1.8999682673e-10 1.9785544984e-11 4.0348807831e-15
  28 1.3756024802e-10 2.2881443665e-15 2.4029732016e-13 3.1541463756e-17 1.7745978985e-10 1.8556166290e-11 3.3735480870e-15
  29 1.3964247264e-10 2.5925871920e-15 2.4704472065e-13 3.3821337389e-17 1.6597135940e-10 1.7442828829e-11 2.4853830871e-17
  30 1.4176097941e-10 2.9196121283e-15 2.5357023054e-13 3.6181003680e-17 1.5550705058e-10 1.6443434181e-11 -5.1306429453e-15
  31 1.4392073214e-10 3.2692375800e-15 2.5942669539e-13 3.8620547226e-17 1.4603319262e-10 1.5546993865e-11 -1.1048905003e-14
  32 1.4611212364e-10 3.6413326212e-15 2.6404598801e-13 4.1140088796e-17 1.3739868933e-10 1.4728361334e-11 -1.6358981187e-14
  33 1.4831822864e-10 4.0360356222e-15 2.6685135519e-13 4.3739789427e-17 1.2939416593e-10 1.3956796959e-11 -1.9696515392e-14
  34 1.5054482562e-10 4.4552358210e-15 2.6767397438e-13 4.6419853698e-17 1.2199070132e-10 1.3229577698e-11 -2.0932744593e-14
  35 1.5279921329e-10 4.9016644130e-15 2.6648536555e-13 4.9180534880e-17 1.1517468616e-10 1.2549283160e-11 -2.0389610059e-14
  36 1.5508117911e-10 5.3785529509e-15 2.6329216487e-13 5.2022139653e-17 1.0887852856e-10 1.1914448416e-11 -1.8532805343e-14
  37 1.5738627525e-10 5.8890684034e-15 2.5814698692e-13 5.4945006559e-17 1.0300899600e-10 1.1321217166e-11 -1.5897345609e-14
  38 1.5971932519e-10 6.4342849875e-15 2.5117837602e-13 5.7949421324e-17 9.7557622210e-11 1.0770076709e-11 -1.2803696754e-14
  39 1.6208422021e-10 7.0145470921e-15 2.4257651795e-13 6.1035678492e-17 9.2520924980e-11 1.0260815613e-11 -9.5592913696e-15
  40 1.6447957905e-10 7.6299936269e-15 2.3258989160e-13 6.4204106882e-17 8.7867655420e-11 9.7903937578e-12 -6.5400146389e-15
  41 1.6689817687e-10 8.2805432882e-15 2.2152895343e-13 6.7455071781e-17 8.3536281586e-11 9.3526846273e-12 -4.1945280690e-15
  42 1.6933091378e-10 8.9661365419e-15 2.0967591451e-13 7.0788927173e-17 7.9455550395e-11 8.9405268688e-12 -2.9270392965e-15
  43 1.7178159222e-10 9.6875888382e-15 1.9697092888e-13 7.4205848994e-17 7.5619997841e-11 8.5532741099e-12 -2.6906577945e-15
  44 1.7425588904e-10 1.0445984547e-14 1.8323208714e-13 7.7705952422e-17 7.2034273354e-11 8.1912180028e-12 -3.2717099177e-15
  45 1.7675696361e-10 1.1242446159e-14 1.6823813686e-13 8.1289336131e-17 6.8691199851e-11 7.8533869430e-12 -4.3963671503e-15
  46 1.7928518836e-10 1.2078136611e-14 1.5172592734e-13 8.4956081162e-17 6.5570790820e-11 7.5374417987e-12 -5.7268931630e-15
  47 1.8183787938e-10 1.2954261609e-14 1.3338785431e-13 8.8706249799e-17 6.2639267394e-11 7.2395716411e-12 -6.8578908691e-15
  48 1.8441136786e-10 1.3871742247e-14 1.1294885065e-13 9.2539856730e-17 5.9859682237e-11 6.9556694661e-12 -7.4141171401e-15
  49 1.8700853384e-10 1.4830118320e-14 9.0428984469e-14 9.6456775556e-17 5.7229625978e-11 6.6854945673e-12 -7.3852887242e-15
  50 1.8963293323e-10 1.5828339860e-14 6.5950493915e-14 1.0045680400e-16 5.4752460991e-11 6.4295043368e-12 -6.8792060382e-15
  51 1.9228649590e-10 1.6865055708e-14 3.9666170342e-14 1.0453968682e-16 5.2426261471e-11 6.1876387086e-12 -6.0298194593e-15
  52 1.9496937569e-10 1.7938599018e-14 1.1760861481e-14 1.0870511330e-16 5.0243422698e-11 5.9592811943e-12 -4.9986584055e-15
  53 1.9767980043e-10 1.9046972753e-14 -1.7547025364e-14 1.1295271469e-16 4.8190270296e-11 5.7432199180e-12 -3.9762604150e-15
  54 2.0041392185e-10 2.0187835194e-14 -4.8004020127e-14 1.1728206168e-16 4.6246669498e-11 5.5376086519e-12 -3.1836002265e-15
  55 2.0316766033e-10 2.1359194382e-14 -7.9392938411e-14 1.2169272036e-16 4.4391832214e-11 5.3405311402e-12 -2.8203005312e-15
  56 2.0594311913e-10 2.2561726697e-14 -1.1177112640e-13 1.2618444228e-16 4.2624322731e-11 5.1519475021e-12 -2.8909243746e-15
  57 2.0874350081e-10 2.3797008871e-14 -1.4528876814e-13 1.3075701716e-16 4.0946337449e-11 4.9721631070e-12 -3.3380332037e-15
